Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1141574081989,1142344089176,770007187,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,21
1,1142445631332,1143227550809,781919477,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,21
2,1143438495006,1144231211142,792716136,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,21
3,1144438742548,1145549992611,1111250063,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,21
0,187496566493,188266826915,770260422,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,3
1,188462264843,189245423044,783158201,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,3
2,189458464930,190251044172,792579242,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,3
3,190454752736,191566948554,1112195818,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,3
0,1043441808717,1044211498432,769689715,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,17
1,1044406264623,1045189493741,783229118,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,17
2,1045402464440,1046195225170,792760730,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,17
3,1046398745026,1047510817321,1112072295,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,17
0,1312232835184,1313003985695,771150511,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,28
1,1313198255206,1313981728539,783473333,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,28
2,1314194479606,1314987259289,792779683,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,28
3,1315190743860,1316301134347,1110390487,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,28
0,1019135679256,1019905976272,770297016,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,16
1,1020102311279,1020884658399,782347120,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,16
2,1021098492695,1021889849995,791357300,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,16
3,1022094764570,1023205214283,1110449713,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,16
0,1320373709588,1321143919375,770209787,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,29
1,1321338260533,1322120282640,782022107,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,29
2,1322330459041,1323121548544,791089503,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,29
3,1323326740596,1324435989439,1109248843,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,29
0,1329773890467,1330544075172,770184705,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,30
1,1330738261005,1331520930467,782669462,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,30
2,1331734477104,1332525674858,791197754,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,3,30
