Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,2006154700056,2006923663928,768963872,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,21
1,2007118249901,2007892501172,774251271,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,21
2,2008106490033,2009067991774,961501741,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,21
3,2009287304547,2014039493322,4752188775,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,21
0,1888236884247,1889006141629,769257382,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,28
1,1889202234833,1889977185273,774950440,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,28
2,1890178693418,1891142483897,963790479,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,28
3,1891351358827,1896212278257,4860919430,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,28
0,2053013150111,2053784008643,770858532,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,17
1,2053978248601,2054752917944,774669343,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,17
2,2054966542258,2055843354567,876812309,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,17
3,2056051284343,2060626174763,4574890420,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,17
0,2393131082583,2393901517773,770435190,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,2
1,2394094240949,2394868658167,774417218,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,2
2,2395070475612,2396196755307,1126279695,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,2
3,2396415326906,2401036192570,4620865664,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,2
0,1867670002762,1868441390887,771388125,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,29
1,1868634248637,1869409265634,775016997,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,29
2,1869622447425,1870634583005,1012135580,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,29
3,1870851490518,1875477932939,4626442421,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,29
0,2064118470884,2064889472300,771001416,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,16
1,2065082259423,2065856201203,773941780,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,16
2,2066066563692,2067298206824,1231643132,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,16
3,2067519351200,2071997224967,4477873767,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,16
0,2364679696150,2365450035010,770338860,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,3
1,2365646233004,2366420805887,774572883,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,3
2,2366634667416,2367650291934,1015624518,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,3
3,2367859372215,2372286225143,4426852928,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,3
0,2020450374480,2021220427151,770052671,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,20
1,2021414248777,2022188732771,774483994,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,20
2,2022402667627,2023349188631,946521004,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,20
3,2023559648790,2028233714139,4674065349,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,20
0,1848632440042,1849402649079,770209037,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,30
1,1849598295528,1850372353849,774058321,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,30
2,1850582652352,1851810196245,1227543893,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,30
3,1852015477056,1856838970646,4823493590,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,30
0,2411337496617,2412107511585,770014968,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,1
1,2412302256783,2413077336347,775079564,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,1
2,2413278486286,2414223122571,944636285,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,1
3,2414431345486,2419122891602,4691546116,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,1
0,2089174049667,2089944587267,770537600,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,14
1,2090138263088,2090912984876,774721788,2097152000,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,3,14
