Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,292473924907,293842294221,1368369314,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,24
1,293943854808,295249127598,1305272790,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,24
2,295462466054,296772036812,1309570758,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,24
3,296978739646,298485741421,1507001775,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,24
0,193145765125,194520349170,1374584045,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,12
1,194621892646,195921834242,1299941596,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,12
2,196134461888,197432909795,1298447907,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,12
3,197650710927,199151522814,1500811887,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,12
0,126837810180,128204684064,1366873884,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,4
1,128306262694,129647520918,1341258224,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,4
2,129858462475,131208869014,1350406539,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,4
3,131414728463,132912047371,1497318908,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,4
0,201381824879,202783856536,1402031657,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,13
1,202885418894,204195233997,1309815103,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,13
2,204406460473,205726483395,1320022922,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,13
3,205930703711,207454032247,1523328536,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,13
0,135141754657,136535000956,1393246299,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,5
1,136636572385,137950769086,1314196701,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,5
2,138162466998,139506906501,1344439503,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,5
3,139710728936,141217450153,1506721217,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,5
0,300713587231,302094554554,1380967323,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,25
1,302196121702,303485712764,1289591062,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,25
2,303698446750,304988863065,1290416315,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,25
3,305190717794,306694671914,1503954120,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,25
0,184877898553,186281961613,1404063060,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,3,11
