Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,481556280456,482933793973,1377513517,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,24
1,483130254903,484574959324,1444704421,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,24
2,484786468437,486403550832,1617082395,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,24
3,486623287607,491488199926,4864912319,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,24
0,478209563633,479582431736,1372868103,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,5
1,479684033428,481125832658,1441799230,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,5
2,481338480495,482974253347,1635772852,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,5
3,483191362950,487961962005,4770599055,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,5
0,177889148736,179323855998,1434707262,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,12
1,179518247131,180963491756,1445244625,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,12
2,181174479727,182763453973,1588974246,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,12
3,182971365757,187817133102,4845767345,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,12
0,200108489870,201495214988,1386725118,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,13
1,201690276228,203132638985,1442362757,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,13
2,203334460860,204859170915,1524710055,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,13
3,205075309391,209884532315,4809222924,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,13
0,497402573993,498819724581,1417150588,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,25
1,499014244727,500457976461,1443731734,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,25
2,500670476813,502256743488,1586266675,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,25
3,502463405848,507520702329,5057296481,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,25
0,466045637077,467428471866,1382834789,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,4
1,467530062777,468974280899,1444218122,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,4
2,469186502534,470918661626,1732159092,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,4
3,471123291342,475963665389,4840374047,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,4
0,164571573611,165977939621,1406366010,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,11
1,166174236525,167618846406,1444609881,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,11
2,167830509735,169377834609,1547324874,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,11
3,169595322270,174298242783,4702920513,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,11
0,544918148287,546306072484,1387924197,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,27
1,546502253756,547935161068,1432907312,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,27
2,548146484253,549785702359,1639218106,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,27
3,550003338255,554871242882,4867904627,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,27
0,61754499997,63143602822,1389102825,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,6
1,63338232619,64784905386,1446672767,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,6
2,64998508189,66544519772,1546011583,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,6
3,66751393062,71544572893,4793179831,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,6
0,308632726218,310033488259,1400762041,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,18
1,310226240398,311671458250,1445217852,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,18
2,311882492816,313566023700,1683530884,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,18
3,313783328692,318604270037,4820941345,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,18
0,530555266488,531965585183,1410318695,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,26
1,532162234512,533609486197,1447251685,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,26
2,533822514542,535452389945,1629875403,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,26
3,535671440082,540388029670,4716589588,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,26
0,75042567933,76415506423,1372938490,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,7
1,76610254322,78054653652,1444399330,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,7
2,78266548684,79787007574,1520458890,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,7
3,79991372224,84876112803,4884740579,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,7
0,345876293831,347269411398,1393117567,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,19
1,347462230094,348907673828,1445443734,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,19
2,349118491543,350827028775,1708537232,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,19
3,351043324477,355811473807,4768149330,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,19
0,143952444215,145331171394,1378727179,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,10
1,145526235754,146950504003,1424268249,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,10
2,147162503795,148695795048,1533291253,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,10
3,148903312552,153594543227,4691230675,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,10
0,238489511495,239882922290,1393410795,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,15
1,240078233975,241524825255,1446591280,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,15
2,241738488303,243352589400,1614101097,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,15
3,243559339498,248330210580,4770871082,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,15
0,442173746595,443558144800,1384398205,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,2
1,443662243711,445071469957,1409226246,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,2
2,445282475980,446945291124,1662815144,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,2
3,447167275624,451735399118,4568123494,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,2
0,465350142554,466716196046,1366053492,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,23
1,466910245765,468347640066,1437394301,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,23
2,468558615526,470169743275,1611127749,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,23
3,470387312764,475108645066,4721332302,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,23
0,453965619876,455361980006,1396360130,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,3
1,455463536363,456906871297,1443334934,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,3
2,457118475380,458633841211,1515365831,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,3
3,458839492899,463814334792,4974841893,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,3
0,448319561056,449688577944,1369016888,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,22
1,449882264027,451324500191,1442236164,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,22
2,451538506814,453202940200,1664433386,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,22
3,453423439441,458437425365,5013985924,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,22
0,224289799849,225675805635,1386005786,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,14
1,225870259774,227316043703,1445783929,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,14
2,227526482909,229054256740,1527773831,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,14
3,229263310418,234297969647,5034659229,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,14
0,430262846671,431660007421,1397160750,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,1
1,431761632625,433202589552,1440956927,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,1
2,433414488294,434978102706,1563614412,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,1
3,435195301148,439937787234,4742486086,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,1
0,599320624310,600709621655,1388997345,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,30
1,600906265513,602350202967,1443937454,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,30
2,602562470396,604187985623,1625515227,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,30
3,604403395476,609112822889,4709427413,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,30
0,359840545550,361206156968,1365611418,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,20
1,361402254432,362836292137,1434037705,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,20
2,363046490679,364749192419,1702701740,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,20
3,364967336835,369771331427,4803994592,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,20
0,98218335821,99615415163,1397079342,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,8
1,99810235839,101253392805,1443156966,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,8
2,101454473407,103064241450,1609768043,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,8
3,103283284157,108036502925,4753218768,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,8
0,262970550942,264339068150,1368517208,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,16
1,264534244191,265978903138,1444658947,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,16
2,266190491569,267746390410,1555898841,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,16
3,267963274521,272726625901,4763351380,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,16
0,580813699800,582193686674,1379986874,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,29
1,582390252525,583833522972,1443270447,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,29
2,584046523014,585610729146,1564206132,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,29
3,585827323427,590469215062,4641891635,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,29
0,125058421307,126418104933,1359683626,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,9
1,126519661130,127959237939,1439576809,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,9
2,128170475765,129751458803,1580983038,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,9
3,129971347933,134675637663,4704289730,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,9
0,281798419509,283207249986,1408830477,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,17
1,283402246809,284845922297,1443675488,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,17
2,285058452953,286683130116,1624677163,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,17
3,286903326408,291768565729,4865239321,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,17
0,567755812882,569130322559,1374509677,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,28
1,569326240925,570770966318,1444725393,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,28
2,570982477232,572655938309,1673461077,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,28
3,572875408058,577600570463,4725162405,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,28
0,434026894823,435443111907,1416217084,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,21
1,435638237544,437083291880,1445054336,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,21
2,437294486492,439004606892,1710120400,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,21
3,439215354969,443934697813,4719342844,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,3,21
