Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,23067456448047,23067472986700,16538653,65536000,0,0x00020000,0x00010000,c,l,131072,2,c,w,65536,3
1,23067666179773,23067692245147,26065374,65536000,0,0x00020000,0x00010000,c,l,131072,2,c,w,65536,3
2,23067890312528,23067924912965,34600437,65536000,0,0x00020000,0x00010000,c,l,131072,2,c,w,65536,3
3,23068126475424,23068166700133,40224709,65536000,0,0x00020000,0x00010000,c,l,131072,2,c,w,65536,3
0,25831196616133,25852003743763,20807127630,8388608000,0,0x01000000,0x00010000,c,l,16777216,2,c,w,65536,3
1,25852378141532,25873740983327,21362841795,8388608000,0,0x01000000,0x00010000,c,l,16777216,2,c,w,65536,3
2,25874134305587,25896803652705,22669347118,8388608000,0,0x01000000,0x00010000,c,l,16777216,2,c,w,65536,3
3,25897006482021,25920505778785,23499296764,8388608000,0,0x01000000,0x00010000,c,l,16777216,2,c,w,65536,3
0,23019651559496,23019652855346,1295850,16384000,0,0x00008000,0x00010000,c,l,32768,2,c,r,65536,3
1,23019846189833,23019847489853,1300020,16384000,0,0x00008000,0x00010000,c,l,32768,2,c,r,65536,3
2,23020058299157,23020059608908,1309751,16384000,0,0x00008000,0x00010000,c,l,32768,2,c,r,65536,3
3,23020262545244,23020263860106,1314862,16384000,0,0x00008000,0x00010000,c,l,32768,2,c,r,65536,3
0,24172226744365,24177175503771,4948759406,2097152000,0,0x00400000,0x00010000,c,l,4194304,2,c,r,65536,3
1,24177370137218,24182363637205,4993499987,2097152000,0,0x00400000,0x00010000,c,l,4194304,2,c,r,65536,3
2,24182574309354,24187738710747,5164401393,2097152000,0,0x00400000,0x00010000,c,l,4194304,2,c,r,65536,3
3,24187954486056,24193266864825,5312378769,2097152000,0,0x00400000,0x00010000,c,l,4194304,2,c,r,65536,3
0,23077791069774,23077825009315,33939541,131072000,0,0x00040000,0x00010000,c,l,262144,2,c,r,65536,3
1,23078018157434,23078064996244,46838810,131072000,0,0x00040000,0x00010000,c,l,262144,2,c,r,65536,3
2,23078278306717,23078345148456,66841739,131072000,0,0x00040000,0x00010000,c,l,262144,2,c,r,65536,3
3,23078546476912,23078625651393,79174481,131072000,0,0x00040000,0x00010000,c,l,262144,2,c,r,65536,3
0,23612187669807,23614541367222,2353697415,1048576000,0,0x00200000,0x00010000,c,l,2097152,2,c,w,65536,3
1,23614734129232,23617091686172,2357556940,1048576000,0,0x00200000,0x00010000,c,l,2097152,2,c,w,65536,3
2,23617302313018,23619748147529,2445834511,1048576000,0,0x00200000,0x00010000,c,l,2097152,2,c,w,65536,3
3,23619962486935,23622473751223,2511264288,1048576000,0,0x00200000,0x00010000,c,l,2097152,2,c,w,65536,3
