Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,313509124198784,313514072148129,4947949345,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,9
1,313514268084776,313519224598067,4956513291,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,9
2,313519440388799,313524409203609,4968814810,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,9
3,313524616734665,313531236651358,6619916693,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,9
0,313723687743573,313728636672286,4948928713,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,13
1,313728832102833,313733788972009,4956869176,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,13
2,313734004399034,313738973151078,4968752044,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,13
3,313739180752901,313745799585476,6618832575,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,13
0,313197876039828,313202824926847,4948887019,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,1
1,313203020108059,313207977613799,4957505740,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,1
2,313208192395590,313213161991318,4969595728,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,1
3,313213368758517,313219990678451,6621919934,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,1
0,313685767249363,313690714873866,4947624503,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,12
1,313690912103783,313695868499522,4956395739,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,12
2,313696084399554,313701053036186,4968636632,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,12
3,313701260737329,313707878941722,6618204393,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,12
0,313478366787229,313483315324493,4948537264,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,8
1,313483512093074,313488468475172,4956382098,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,8
2,313488684389195,313493652817717,4968428522,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,8
3,313493860735091,313500479333943,6618598852,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,8
0,313583248918738,313588197194156,4948275418,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,10
1,313588392092780,313593348944225,4956851445,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,10
2,313593564388571,313598533255607,4968867036,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,10
3,313598740733427,313605360113587,6619380160,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,10
0,313268187310764,313273136572810,4949262046,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,3
1,313273332105387,313278290125039,4958019652,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,3
2,313278504400579,313283474650682,4970250103,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,3
3,313283680755296,313290301044266,6620288970,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,3
0,313622527303995,313627475635908,4948331913,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,11
1,313627672106479,313632628449123,4956342644,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,11
2,313632844410591,313637812872016,4968461425,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,11
3,313638020748296,313644638413955,6617665659,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,11
0,313240346497678,313245294422301,4947924623,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,2
1,313245492120354,313250448792591,4956672237,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,2
2,313250664398704,313255633299722,4968901018,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,2
3,313255840743849,313262458587556,6617843707,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,2
0,313770959745019,313775908671302,4948926283,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,14
1,313776104105639,313781060872035,4956766396,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,14
2,313781276399350,313786245509500,4969110150,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,14
3,313786452764108,313793071634777,6618870669,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,14
0,313424098631357,313429047695263,4949063906,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,7
1,313429244103228,313434201249212,4957145984,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,7
2,313434416389898,313439385539852,4969149954,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,7
3,313439592770288,313446211556298,6618786010,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,7
0,314068784414557,314073732451551,4948036994,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,15
1,314073928110561,314078884775287,4956664726,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,15
2,314079100404652,314084069249105,4968844453,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,15
3,314084276768760,314090895472132,6618703372,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,15
0,313387326616260,313392274058965,4947442705,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,6
1,313392472122125,313397427690181,4955568056,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,6
2,313397640407425,313402608168050,4967760625,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,6
3,313402816734939,313409433177416,6616442477,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,6
0,313314708482979,313319656503262,4948020283,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,4
1,313319852107706,313324808839139,4956731433,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,4
2,313325024395546,313329993459071,4969063525,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,4
3,313330200742162,313336821544595,6620802433,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,4
0,313349838607743,313354787643817,4949036074,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,5
1,313354984108507,313359941075703,4956967196,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,5
2,313360156395608,313365125575164,4969179556,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,5
3,313365332733913,313371952184290,6619450377,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,3,5
