Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,310031692381585,310036641365473,4948983888,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,1
1,310036836093320,310041789827263,4953733943,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,1
2,310042004404083,310048567529642,6563125559,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,1
3,310048789388850,310070154569329,21365180479,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,1
0,310487445479409,310492393365678,4947886269,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,8
1,310492588124858,310497540554831,4952429973,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,8
2,310497756426560,310504198058200,6441631640,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,8
3,310504417471133,310526161042800,21743571667,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,8
0,310829132691720,310834082820083,4950128363,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,13
1,310834280110345,310839234778082,4954667737,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,13
2,310839448452081,310846420923901,6972471820,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,13
3,310846641374328,310868192689165,21551314837,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,13
0,310562525446139,310567474213516,4948767377,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,9
1,310567672096498,310572625539372,4953442874,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,9
2,310572840470858,310579620973047,6780502189,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,9
3,310579829382750,310601901147679,22071764929,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,9
0,310754755701769,310759705317421,4949615652,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,12
1,310759809158616,310764763752105,4954593489,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,12
2,310764976410003,310771455841640,6479431637,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,12
3,310771677369094,310793357373060,21680003966,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,12
0,310611449369421,310616399141288,4949771867,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,10
1,310616596111039,310621550674815,4954563776,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,10
2,310621764429803,310628260567969,6496138166,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,10
3,310628481415805,310650066422219,21585006414,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,10
0,310075660966143,310080608910777,4947944634,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,2
1,310080804106591,310085756635154,4952528563,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,2
2,310085972504533,310092231657160,6259152627,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,2
3,310092441351822,310114294628230,21853276408,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,2
0,310146641640793,310151590217631,4948576838,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,3
1,310151788114004,310156741324335,4953210331,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,3
2,310156956427878,310163213974754,6257546876,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,3,3
