Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,8679942062549,8679956289740,14227191,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,4
1,8680150142600,8680171667390,21524790,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,4
2,8680382313637,8680414008554,31694917,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,4
3,8680618689455,8680661218685,42529230,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,4
0,8748590039733,8748604303498,14263765,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,18
1,8748798142366,8748819622532,21480166,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,18
2,8749030317464,8749062179047,31861583,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,18
3,8749266666949,8749308946164,42279215,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,18
0,1501790032429,1501804198245,14165816,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,27
1,1501998156724,1502019634080,21477356,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,27
2,1502230345234,1502262045261,31700027,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,27
3,1502478691678,1502522756271,44064593,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,27
0,8710242004674,8710256194912,14190238,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,11
1,8710450214978,8710471747620,21532642,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,11
2,8710682343492,8710714019307,31675815,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,11
3,8710918735741,8710960997924,42262183,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,11
0,8705746000956,8705760206476,14205520,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,10
1,8705966174045,8705987687455,21513410,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,10
2,8706198336632,8706230066833,31730201,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,10
3,8706434677577,8706478756511,44078934,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,10
0,8683693967029,8683708186059,14219030,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,5
1,8683902160931,8683923641537,21480606,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,5
2,8684134332029,8684165952578,31620549,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,5
3,8684370673293,8684413119934,42446641,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,5
0,8776310089252,8776324253018,14163766,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,19
1,8776518143911,8776539694914,21551003,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,19
2,8776750371634,8776782060440,31688806,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,19
3,8776986682206,8777028969901,42287695,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,19
0,1496629977181,1496644213793,14236612,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,26
1,1496838162622,1496859626907,21464285,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,26
2,1497070342291,1497101971751,31629460,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,26
3,1497306683935,1497350685792,44001857,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,26
0,8714181963744,8714196166173,14202429,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,12
1,8714402171546,8714423662344,21490798,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,12
2,8714634316702,8714666087546,31770844,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,12
3,8714870718372,8714913076375,42358003,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,12
0,8690994030130,8691008288535,14258405,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,7
1,8691214185978,8691235628380,21442402,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,7
2,8691446330773,8691477984676,31653903,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,7
3,8691682703271,8691725136901,42433630,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,7
0,1489065955525,1489080162274,14206749,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,24
1,1489274149367,1489295668567,21519200,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,24
2,1489506329046,1489538008261,31679215,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,24
3,1489742687822,1489786704970,44017148,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,24
0,8687366043622,8687380225429,14181807,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,6
1,8687586174137,8687607651223,21477086,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,6
2,8687818336324,8687850058714,31722390,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,6
3,8688054659737,8688096727040,42067303,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,6
0,1492517962910,1492532186221,14223311,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,25
1,1492726156872,1492747680723,21523851,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,25
2,1492958328000,1492989884953,31556953,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,25
3,1493194669425,1493238631677,43962252,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,25
0,8718393998439,8718408234881,14236442,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,13
1,8718614154546,8718635631982,21477436,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,13
2,8718846350336,8718878493118,32142782,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,13
3,8719082683430,8719125113400,42429970,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,13
0,1799614054602,1799628285224,14230622,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,29
1,1799822144004,1799843604788,21460784,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,29
2,1800054332554,1800086180096,31847542,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,29
3,1800290673338,1800334611268,43937930,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,29
0,8733934139936,8733948356887,14216951,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,16
1,8734142151550,8734163670830,21519280,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,16
2,8734374322198,8734406072970,31750772,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,16
3,8734610672353,8734652978120,42305767,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,16
0,1804197977995,1804212187025,14209030,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,30
1,1804406145615,1804427593578,21447963,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,30
2,1804638332864,1804669909069,31576205,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,30
3,1804874683780,1804918550863,43867083,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,30
0,8864074066364,8864088294755,14228391,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,20
1,8864282155645,8864303657924,21502279,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,20
2,8864514318032,8864545922480,31604448,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,20
3,8864750667538,8864792990586,42323048,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,20
0,8675573996984,8675588192892,14195908,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,3
1,8675782147062,8675803623748,21476686,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,3
2,8676014335501,8676045982833,31647332,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,3
3,8676250693548,8676292933798,42240250,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,3
0,8867825993286,8867840213636,14220350,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,21
1,8868046154023,8868067648031,21494008,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,21
2,8868278420441,8868310070683,31650242,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,21
3,8868514665526,8868556878974,42213448,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,21
0,8670810047963,8670824329830,14281867,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,2
1,8670966158292,8670987671861,21513569,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,2
2,8671198329189,8671230150429,31821240,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,2
3,8671434670074,8671477219075,42549001,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,2
0,1516050059751,1516064307285,14247534,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,28
1,1516258165194,1516279731489,21566295,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,28
2,1516490336572,1516522083684,31747112,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,28
3,1516738674466,1516782635598,43961132,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,28
0,8744010057934,8744024304907,14246973,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,17
1,8744218173138,8744239676927,21503789,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,17
2,8744438321585,8744469984608,31663023,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,17
3,8744674688352,8744716933283,42244931,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,17
0,1485102691787,1485117011418,14319631,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,23
1,1485310144555,1485331598118,21453563,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,23
2,1485542341175,1485574258784,31917609,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,23
3,1485778673489,1485822697768,44024279,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,23
0,8729966245415,8729980494829,14249414,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,15
1,8730186141157,8730207554446,21413289,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,15
2,8730418320975,8730450054156,31733181,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,15
3,8730654687712,8730697049685,42361973,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,15
0,8700714109884,8700728309002,14199118,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,9
1,8700922155821,8700943674531,21518710,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,9
2,8701154344531,8701186041348,31696817,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,9
3,8701390677054,8701433060139,42383085,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,9
0,8722121979768,8722136212540,14232772,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,14
1,8722330242457,8722351798941,21556484,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,14
2,8722562326806,8722594055607,31728801,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,14
3,8722798910835,8722841111142,42200307,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,14
0,8696918114158,8696932330129,14215971,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,8
1,8697138156964,8697159658943,21501979,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,8
2,8697370328412,8697402082885,31754473,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,8
3,8697610697309,8697652962012,42264703,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,8
0,8878318093657,8878332300916,14207259,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,22
1,8878538145474,8878559622340,21476866,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,22
2,8878770316442,8878802265404,31948962,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,22
3,8879006778728,8879049074014,42295286,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,22
0,8664710089083,8664724306613,14217530,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,1
1,8664876025222,8664890235242,14210020,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,1
2,8665130350944,8665162159162,31808218,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,1
3,8665366656825,8665409127869,42471044,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,r,262144,2,1
