Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,2632130001346,2632144253150,14251804,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,10
1,2632338179637,2632360046582,21866945,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,10
2,2632570341914,2632602402187,32060273,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,10
3,2632806719402,2632851710358,44990956,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,10
0,2675686003620,2675700221421,14217801,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,19
1,2675894188242,2675916085029,21896787,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,19
2,2676126325016,2676158369238,32044222,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,19
3,2676362674942,2676405324183,42649241,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,19
0,2723754066917,2723768235623,14168706,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,26
1,2723962164849,2723984036225,21871376,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,26
2,2724194336257,2724226457337,32121080,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,26
3,2724430686683,2724473417752,42731069,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,26
0,2696181977371,2696196209593,14232222,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,7
1,2696334138184,2696356028882,21890698,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,7
2,2696554329495,2696586418152,32088657,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,7
3,2696790688522,2696835120641,44432119,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,7
0,2671870077344,2671884300365,14223021,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,18
1,2672078157475,2672099995026,21837551,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,18
2,2672310319531,2672342569004,32249473,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,18
3,2672546686349,2672589285315,42598966,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,18
0,2688974107561,2688988354284,14246723,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,6
1,2689182145227,2689203976359,21831132,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,6
2,2689414325106,2689446320903,31995797,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,6
3,2689650701674,2689694963307,44261633,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,6
0,2727610047496,2727624298229,14250733,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,27
1,2727818163170,2727840016223,21853053,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,27
2,2728050317086,2728082400952,32083866,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,27
3,2728286684713,2728329367528,42682815,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,27
0,2635930191801,2635944359546,14167745,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,11
1,2636138142669,2636160039797,21897128,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,11
2,2636370348420,2636403456908,33108488,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,11
3,2636606671923,2636651072069,44400146,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,11
0,1832794024072,1832808245403,14221331,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,4
1,1833002146957,1833023939685,21792728,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,4
2,1833234335337,1833266303431,31968094,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,4
3,1833470685362,1833515051035,44365673,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,4
0,2720370117242,2720384317431,14200189,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,25
1,2720578154619,2720600055557,21900938,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,25
2,2720810308615,2720842388240,32079625,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,25
3,2721046675922,2721089303121,42627199,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,25
0,2643162135496,2643176339946,14204450,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,13
1,2643370164312,2643392032727,21868415,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,13
2,2643602327189,2643634402864,32075675,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,13
3,2643838685896,2643881410594,42724698,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,13
0,2639780030626,2639794310723,14280097,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,12
1,2640014149739,2640035989261,21839522,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,12
2,2640246329667,2640278358988,32029321,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,12
3,2640482696694,2640527103491,44406797,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,12
0,2709862057626,2709876293869,14236243,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,24
1,2710070146978,2710091959837,21812859,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,24
2,2710302309525,2710334502211,32192686,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,24
3,2710538676382,2710581298401,42622019,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,24
0,1844122042326,1844136284589,14242263,131072000,0,0x00040000,0x00040000,c,r,262144,4,c,w,262144,2,5
