Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,3928658101657,3928671556592,13454935,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,21
1,3928866173827,3928887864365,21690538,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,21
2,3929098310492,3929131141942,32831450,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,21
3,3929334660117,3929377291317,42631200,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,21
0,3103194024116,3103207437036,13412920,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,17
1,3103402166053,3103423886853,21720800,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,17
2,3103634319689,3103666806795,32487106,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,17
3,3103870686416,3103914795923,44109507,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,17
0,3042362091269,3042375502409,13411140,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,4
1,3042570154328,3042591851816,21697488,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,4
2,3042802325576,3042834863227,32537651,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,4
3,3043038675422,3043081372308,42696886,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,4
0,3985785934801,3985799321308,13386507,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,28
1,3985994163196,3986015841162,21677966,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,28
2,3986226317212,3986259025500,32708288,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,28
3,3986462693070,3986507425980,44732910,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,28
0,3098758040155,3098771463726,13423571,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,16
1,3098966147158,3098987845646,21698488,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,16
2,3099198344969,3099230609903,32264934,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,16
3,3099434649810,3099477344286,42694476,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,16
0,3046149961303,3046163405016,13443713,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,5
1,3046358154825,3046379844412,21689587,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,5
2,3046590334494,3046622738791,32404297,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,5
3,3046826693440,3046871814458,45121018,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,5
0,3990438098482,3990451524523,13426041,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,29
1,3990646153350,3990667853978,21700628,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,29
2,3990878368362,3990910066179,31697817,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,29
3,3991114682394,3991157619694,42937300,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,29
0,3921906114238,3921919580973,13466735,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,20
1,3922114143083,3922135822809,21679726,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,20
2,3922346314121,3922378697877,32383756,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,20
3,3922594686388,3922638083354,43396966,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,20
0,3995465996025,3995479423397,13427372,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,30
1,3995674155284,3995695852652,21697368,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,30
2,3995906318781,3995939079394,32760613,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,30
3,3996142684938,3996187114347,44429409,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,r,262144,2,30
