Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,5093866055866,5093879476467,13420601,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,16
1,5094074155929,5094096309633,22153704,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,16
2,5094306335918,5094339216463,32880545,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,16
3,5094542694134,5094587717763,45023629,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,16
0,5308442089553,5308455498333,13408780,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,29
1,5308650179475,5308672357971,22178496,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,29
2,5308882359164,5308915449330,33090166,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,29
3,5309118664815,5309161487174,42822359,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,29
0,4113818059742,4113831451230,13391488,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,7
1,4114026183657,4114048358423,22174766,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,7
2,4114258320632,4114291098957,32778325,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,7
3,4114494687599,4114537726919,43039320,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,7
0,5312182059081,5312195477421,13418340,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,30
1,5312390157993,5312412312947,22154954,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,30
2,5312610360465,5312643301167,32940702,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,30
3,5312846707901,5312890108117,43400216,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,30
0,5167422076818,5167435491269,13414451,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,20
1,5167630148678,5167652294571,22145893,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,20
2,5167862337818,5167894509892,32172074,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,20
3,5168098721567,5168142116483,43394916,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,20
0,5171461986985,5171475419417,13432432,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,21
1,5171670146443,5171692340951,22194508,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,21
2,5171890329574,5171923400118,33070544,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,21
3,5172126678009,5172169646392,42968383,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,21
0,5143578084793,5143591535467,13450674,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,17
1,5143734177950,5143756354956,22177006,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,17
2,5143966331456,5143999384248,33052792,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,17
3,5144202681401,5144248054265,45372864,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,17
0,4108766029488,4108779448978,13419490,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,6
1,4108974170684,4108996316517,22145833,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,6
2,4109206324601,4109239133289,32808688,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,6
3,4109442683827,4109485327028,42643201,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,6
0,5304606031925,5304619449656,13417731,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,28
1,5304814173482,5304836306824,22133342,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,28
2,5305046318998,5305079538677,33219679,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,28
3,5305282694195,5305325562859,42868664,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,28
0,5248654030508,5248667479672,13449164,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,23
1,5248862198317,5248884352521,22154204,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,23
2,5249094317690,5249127011777,32694087,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,23
3,5249330675146,5249373394645,42719499,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,23
0,5038882164280,5038895617874,13453594,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,15
1,5039090149591,5039112293404,22143813,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,15
2,5039322320989,5039355414036,33093047,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,15
3,5039570702457,5039613921625,43219168,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,15
0,4101398047629,4101411445808,13398179,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,4
1,4101606163164,4101628278673,22115509,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,4
2,4101838342863,4101870907936,32565073,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,4
3,4102074717670,4102117456381,42738711,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,4
0,5033010050695,5033023467535,13416840,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,14
1,5033218150927,5033240328393,22177466,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,14
2,5033450321905,5033482684779,32362874,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,14
3,5033686723916,5033731777918,45054002,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,14
0,4104970050584,4104983480966,13430382,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,5
1,4105178149227,4105200298180,22148953,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,5
2,4105410320264,4105443434223,33113959,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,5
3,4105646687652,4105689622322,42934670,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,5
0,5245038076342,5245051496473,13420131,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,22
1,5245246148532,5245268239879,22091347,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,22
2,5245478319700,5245511386744,33067044,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,22
3,5245714686137,5245759404455,44718318,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,22
0,5301150039302,5301163489096,13449794,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,27
1,5301358155397,5301380276287,22120890,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,27
2,5301590317494,5301623378027,33060533,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,27
3,5301826694572,5301869768846,43074274,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,27
0,4123518017685,4123531429625,13411940,131072000,131072000,0x00040000,0x00040000,c,w,262144,4,c,w,262144,2,9
