Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,97535751758831,97535759504525,7745694,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,27
1,97535906278420,97535913979379,7700959,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,27
2,97536126486302,97536135259319,8773017,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,27
3,97536338656782,97536349493185,10836403,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,27
0,97528335832722,97528343564265,7731543,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,18
1,97528490282644,97528498169252,7886608,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,18
2,97528710474395,97528719261203,8786808,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,18
3,97528922723173,97528933733973,11010800,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,18
0,97520915809304,97520923562729,7753425,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,9
1,97521070285809,97521078431563,8145754,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,9
2,97521290486111,97521299426594,8940483,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,9
3,97521502655520,97521513698684,11043164,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,9
0,97522563880575,97522571633530,7752955,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,11
1,97522718289223,97522726119725,7830502,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,11
2,97522938486174,97522947456221,8970047,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,11
3,97523150675416,97523161515939,10840523,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,r,4194304,2,11
