Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,98063044044061,98063051795735,7751674,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,18
1,98063198399264,98063216259908,17860644,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,18
2,98063426664001,98063444663320,17999319,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,18
3,98063650959552,98063672989423,22029871,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,18
0,98070744138243,98070751888167,7749924,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,27
1,98070898581864,98070914128018,15546154,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,27
2,98071126681175,98071145854581,19173406,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,27
3,98071350966345,98071373080625,22114280,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,27
0,98048446141229,98048453863901,7722672,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,1
1,98048602495662,98048618076308,15580646,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,1
2,98048830697353,98048848453137,17755784,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,1
3,98049054968762,98049076564879,21596117,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,1
0,98056999969664,98057007719338,7749674,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,11
1,98057202404511,98057217920871,15516360,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,11
2,98057430658247,98057449160156,18501909,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,11
3,98057654983551,98057677135824,22152273,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,11
0,98054444012850,98054451766174,7753324,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,8
1,98054598412777,98054613583463,15170686,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,8
2,98054826718839,98054844447140,17728301,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,8
3,98055050971455,98055073144421,22172966,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,8
0,98056156149132,98056163890965,7741833,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,10
1,98056310436478,98056325551458,15114980,20971520,0,0x00400000,0x00400000,c,r,4194304,2,c,w,4194304,2,10
