Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,412312086690,412324905440,12818750,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,22
1,412466273765,412480938181,14664416,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,22
2,412694476307,412709789107,15312800,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,22
3,412914676829,412931342474,16665645,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,22
0,399492069199,399506160237,14091038,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,7
1,399646314711,399661053664,14738953,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,7
2,399874529434,399889916141,15386707,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,7
3,400094685501,400110973458,16287957,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,7
0,405479910818,405493461672,13550854,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,14
1,405634370041,405648945137,14575096,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,14
2,405862504215,405878195703,15691488,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,14
3,406082669044,406099245690,16576646,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,14
0,406336220868,406348813506,12592638,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,15
1,406490295262,406505161268,14866006,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,15
2,406718489263,406734143697,15654434,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,15
3,406938690065,406955039838,16349773,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,15
0,413156465708,413170239584,13773876,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,23
1,413310287227,413325321379,15034152,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,23
2,413538481858,413553834602,15352744,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,23
3,413758657517,413775518932,16861415,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,23
0,398648201662,398660111702,11910040,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,6
1,398802293229,398817150723,14857494,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,r,4194304,2,6
