Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,99186248069595,99186261375174,13305579,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,22
1,99186402406526,99186420076381,17669855,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,22
2,99186630680864,99186649925047,19244183,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,22
3,99186855003838,99186881403896,26400058,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,22
0,99179307895212,99179319810763,11915551,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,14
1,99179462433123,99179479059924,16626801,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,14
2,99179690664007,99179709087578,18423571,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,14
3,99179914991121,99179940880978,25889857,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,14
0,99172363991317,99172376665883,12674566,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,6
1,99172518416456,99172536450298,18033842,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,6
2,99172750641680,99172769504624,18862944,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,6
3,99172974965543,99173000790504,25824961,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,6
0,99180168033245,99180180075508,12042263,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,15
1,99180322417390,99180339004218,16586828,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,15
2,99180550686078,99180569663905,18977827,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,15
3,99180774987730,99180801296579,26308849,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,15
0,99173227963332,99173240440839,12477507,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,7
1,99173382411414,99173398799992,16388578,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,7
2,99173610680692,99173633713164,23032472,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,7
3,99173839015177,99173864747948,25732771,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,7
0,99187107940941,99187120598226,12657285,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,23
1,99187262438038,99187280466279,18028241,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,23
2,99187494643929,99187513819085,19175156,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,23
3,99187718977694,99187745212435,26234741,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,23
0,99181887962145,99181900725310,12763165,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,17
1,99182042424849,99182059246899,16822050,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,17
2,99182270681035,99182293468742,22787707,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,17
3,99182499040142,99182525413628,26373486,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,17
0,99171499976077,99171512827101,12851024,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,5
1,99171654491905,99171671238679,16746774,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,5
2,99171882780885,99171905611237,22830352,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,5
3,99172110976496,99172137717328,26740832,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,5
0,99191427931312,99191441022510,13091198,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,28
1,99191582534380,99191600557551,18023171,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,28
2,99191802645153,99191821759962,19114809,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,28
3,99192026950355,99192052350912,25400557,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,28
0,99185388047384,99185401068785,13021401,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,21
1,99185542428299,99185559748630,17320331,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,21
2,99185770631461,99185789496266,18864805,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,21
3,99185994964575,99186020488106,25523531,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,21
0,99184531711411,99184544132372,12420961,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,20
1,99184686432631,99184702973413,16540782,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,20
2,99184914673316,99184933429730,18756414,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,20
3,99185139012461,99185164197657,25185196,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,20
0,99193139945822,99193152899816,12953994,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,30
1,99193362405629,99193379100518,16694889,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,30
2,99193590668937,99193609881207,19212270,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,30
3,99193814984410,99193840509460,25525050,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,30
0,99181027965937,99181040149204,12183267,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,16
1,99181182420149,99181198878634,16458485,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,16
2,99181410657544,99181429911408,19253864,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,16
3,99181634989549,99181660319370,25329821,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,16
0,99170636102421,99170649356095,13253674,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,4
1,99170790475635,99170806990726,16515091,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,4
2,99171018706170,99171041450852,22744682,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,4
3,99171246952625,99171271824660,24872035,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,4
0,99192280039522,99192292440672,12401150,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,29
1,99192434517347,99192451027757,16510410,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,29
2,99192662666544,99192681578443,18911899,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,29
3,99192886956444,99192912122958,25166514,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,29
0,99168055190593,99168067925046,12734453,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,1
1,99168210470058,99168226997150,16527092,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,1
2,99168438681921,99168457738135,19056214,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,1
3,99168662935087,99168688706963,25771876,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,1
0,99178444021736,99178456074101,12052365,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,13
1,99178598508212,99178614985809,16477597,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,13
2,99178826710483,99178845756817,19046334,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,13
3,99179050982592,99179076915613,25933021,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,13
0,99188835910915,99188849113754,13202839,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,25
1,99188990427544,99189006836223,16408679,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,25
2,99189218637676,99189237598170,18960494,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,25
3,99189442968830,99189468199341,25230511,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,25
0,99174095702884,99174108509584,12806700,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,8
1,99174302397927,99174319088164,16690237,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,8
2,99174530661844,99174549702397,19040553,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,8
3,99174754959476,99174781832151,26872675,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,8
0,99187972011626,99187984965641,12954015,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,24
1,99188126418254,99188142937905,16519651,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,24
2,99188354630947,99188373470389,18839442,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,24
3,99188579025297,99188607704043,28678746,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,24
0,99175008013230,99175021056993,13043763,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,9
1,99175162412777,99175179115686,16702909,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,9
2,99175390669304,99175409761321,19092017,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,9
3,99175614974206,99175640531639,25557433,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,9
0,99177583935659,99177597076052,13140393,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,12
1,99177738434106,99177755048776,16614670,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,12
2,99177966671681,99177985684701,19013020,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,12
3,99178190995405,99178215619785,24624380,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,12
0,99189699857008,99189713951886,14094878,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,26
1,99189854443174,99189872483966,18040792,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,26
2,99190086638534,99190105442913,18804379,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,26
3,99190310970219,99190337690128,26719909,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,26
0,99183612074164,99183624427568,12353404,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,19
1,99183818426882,99183836441752,18014870,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,19
2,99184050630843,99184069716100,19085257,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,19
3,99184274962188,99184301423461,26461273,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,19
0,99168916040817,99168928753897,12713080,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,2
1,99169070424903,99169088287057,17862154,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,2
2,99169298650506,99169317294779,18644273,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,2
3,99169522966789,99169548477598,25510809,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,2
0,99175864224790,99175876831080,12606290,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,10
1,99176018510056,99176035008604,16498548,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,10
2,99176246644751,99176265516586,18871835,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,10
3,99176471150923,99176498298585,27147662,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,10
0,99169776011163,99169789520203,13509040,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,3
1,99169930422271,99169946938842,16516571,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,3
2,99170158664407,99170177556564,18892157,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,3
3,99170382962748,99170408139273,25176525,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,3
0,99176724098996,99176736710206,12611210,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,11
1,99176878426546,99176895229975,16803429,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,11
2,99177106658651,99177125430306,18771655,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,11
3,99177331087165,99177356436588,25349423,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,11
0,99190564066297,99190576130523,12064226,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,27
1,99190718396217,99190735137220,16741003,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,27
2,99190946721591,99190969511458,22789867,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,27
3,99191174987019,99191200403148,25416129,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,27
0,99182751942682,99182764827689,12885007,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,18
1,99182906432008,99182924024566,17592558,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,18
2,99183134642760,99183153327107,18684347,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,18
3,99183358983906,99183384565612,25581706,20971520,20971520,0x00400000,0x00400000,c,w,4194304,2,c,w,4194304,2,18
