Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,180183998431,180198319091,14320660,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,6
1,180394124116,180415605792,21481676,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,6
2,180626304185,180658032715,31728530,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,6
3,180862502135,180906485840,43983705,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,6
0,212764339457,212778609583,14270126,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,14
1,212974122648,212995614115,21491467,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,14
2,213206301947,213238054109,31752162,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,14
3,213442491496,213486692243,44200747,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,14
0,244556132524,244570448735,14316211,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,22
1,244766202314,244787717273,21514959,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,22
2,244998303925,245030073649,31769724,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,22
3,245234493544,245278536635,44043091,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,22
0,247464730793,247478993728,14262935,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,23
1,247674127596,247695623963,21496367,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,23
2,247906307354,247938091380,31784026,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,23
3,248142479642,248186707781,44228139,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,23
0,183931962837,183946243634,14280797,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,7
1,184142123265,184163615723,21492458,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,7
2,184374303244,184406224034,31920790,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,7
3,184610501134,184654939735,44438601,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,r,262144,2,7
