Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,10504759628104,10504773940194,14312090,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,23
1,10504970135818,10504992013714,21877896,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,23
2,10505202315896,10505234284441,31968545,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,23
3,10505438487874,10505483095061,44607187,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,23
0,10488167677853,10488181985082,14307229,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,5
1,10488322141807,10488344083619,21941812,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,5
2,10488554304074,10488587428213,33124139,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,5
3,10488790493693,10488835067707,44574014,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,5
0,10497375725665,10497390024764,14299099,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,15
1,10497586181213,10497608039497,21858284,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,15
2,10497818299676,10497851492593,33192917,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,15
3,10498054480615,10498099023405,44542790,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,15
0,10487231533046,10487245865278,14332232,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,4
1,10487442188514,10487464132317,21943803,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,4
2,10487674306967,10487706459149,32152182,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,4
3,10487910496516,10487953506694,43010178,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,4
0,10496491613817,10496505916246,14302429,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,14
1,10496646138577,10496667952457,21813880,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,14
2,10496878301154,10496910781699,32480545,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,14
3,10497114481723,10497158986449,44504726,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,14
0,10503879648309,10503893983331,14335022,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,22
1,10504034129954,10504055995749,21865795,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,22
2,10504266309233,10504298418301,32109068,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,22
3,10504502481481,10504545180417,42698936,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,22
0,10510299627325,10510313917013,14289688,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,29
1,10510510135219,10510532015625,21880406,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,29
2,10510742305907,10510774592073,32286166,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,29
3,10510978495756,10511023041157,44545401,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,29
0,10489051633715,10489065913922,14280207,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,6
1,10489262192744,10489284094142,21901398,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,6
2,10489494302926,10489526388632,32085706,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,6
3,10489730501416,10489774888351,44386935,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,6
0,10498315620377,10498329906914,14286537,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,16
1,10498526180376,10498548115707,21935331,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,16
2,10498758307599,10498790668342,32360743,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,16
3,10498994488508,10499037387444,42898936,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,16
0,10511251675241,10511265954038,14278797,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,30
1,10511462139500,10511484021017,21881517,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,30
2,10511694301647,10511727457000,33155353,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,30
3,10511930490677,10511974965431,44474754,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,30
0,10502087587651,10502101882780,14295129,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,20
1,10502242147235,10502264041182,21893947,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,20
2,10502474300431,10502506512859,32212428,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,20
3,10502710489920,10502755095097,44605177,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,20
0,10502971664226,10502985991747,14327521,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,21
1,10503140044300,10503154305305,14261005,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,21
2,10503382362862,10503415598463,33235601,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,21
3,10503618482724,10503662872349,44389625,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,21
0,10509419604476,10509433920446,14315970,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,28
1,10509574146477,10509595919663,21773186,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,28
2,10509806317825,10509838530754,32212929,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,28
3,10510042480942,10510085123723,42642781,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,28
0,10489991675602,10490005898163,14222561,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,7
1,10490146148296,10490168138303,21990007,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,7
2,10490378301902,10490410503210,32201308,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,7
3,10490614482261,10490657330842,42848581,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,7
0,10499251747792,10499266043971,14296179,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,17
1,10499474130722,10499495996607,21865885,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,17
2,10499706301570,10499739483445,33181875,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,17
3,10499942482629,10499987022809,44540180,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,17
0,10494615721893,10494630046205,14324312,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,12
1,10494826134187,10494848016744,21882557,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,12
2,10495058304995,10495091467629,33162634,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,12
3,10495294494385,10495339072189,44577804,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,12
0,10485407708765,10485422040367,14331602,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,2
1,10485618173214,10485640088613,21915399,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,2
2,10485850309498,10485882353620,32044122,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,2
3,10486086490417,10486131075861,44585444,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,2
0,10505699730927,10505714031956,14301029,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,24
1,10505854143225,10505876055655,21912430,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,24
2,10506086305442,10506119659585,33354143,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,24
3,10506322477380,10506367033652,44556272,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,24
0,10506583625513,10506597887978,14262465,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,25
1,10506794124825,10506816003622,21878797,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,25
2,10507026304544,10507058429534,32124990,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,25
3,10507262485663,10507305147185,42661522,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,25
0,10495555538497,10495569808623,14270126,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,13
1,10495766124629,10495788060620,21935991,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,13
2,10495998304077,10496030408615,32104538,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,13
3,10496234510888,10496277304994,42794106,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,13
0,10486347838150,10486362135668,14297518,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,3
1,10486502137107,10486523938795,21801688,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,3
2,10486734299384,10486767505472,33206088,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,3
3,10486970489143,10487014917942,44428799,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,3
0,10500215653983,10500229978654,14324671,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,18
1,10500384041738,10500398267529,14225791,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,18
2,10500638357868,10500670354325,31996457,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,18
3,10500874477891,10500918932883,44454992,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,18
0,10508479683272,10508493993212,14309940,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,27
1,10508690173783,10508712009515,21835732,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,27
2,10508922301057,10508955597014,33295957,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,27
3,10509158481785,10509203115415,44633630,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,27
0,10490875570368,10490889874417,14304049,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,8
1,10491086139087,10491107955617,21816530,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,8
2,10491318301234,10491350578419,32277185,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,8
3,10491566478942,10491611015332,44536390,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,8
0,10493675601129,10493689912649,14311520,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,11
1,10493886178900,10493908108831,21929931,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,11
2,10494118314914,10494150839254,32524340,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,11
3,10494354486822,10494398932733,44445911,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,11
0,10484470075869,10484484377598,14301729,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,1
1,10484678147989,10484700005143,21857154,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,1
2,10484910301925,10484942527465,32225540,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,1
3,10485146499645,10485189848587,43348942,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,1
0,10492723596708,10492737870794,14274086,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,10
1,10492934200271,10492956131992,21931721,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,10
2,10493166301131,10493198392628,32091497,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,10
3,10493402490741,10493445223761,42733020,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,10
0,10501135617533,10501149942875,14325342,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,19
1,10501346203664,10501368117014,21913350,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,19
2,10501578313606,10501610407463,32093857,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,19
3,10501814511656,10501857260428,42748772,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,19
0,10507539389250,10507553708241,14318991,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,26
1,10507750131557,10507771882790,21751233,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,26
2,10507982302455,10508014772079,32469624,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,26
3,10508218492414,10508262988780,44496366,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,26
0,10491827713724,10491842017813,14304089,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,9
1,10491982143064,10492004004668,21861604,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,9
2,10492214305081,10492247582046,33276965,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,9
3,10492450485799,10492495095296,44609497,131072000,0,0x00040000,0x00040000,c,r,262144,2,c,w,262144,2,9
