Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,422627819569,422641342540,13522971,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,12
1,422782153840,422803830315,21676475,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,12
2,423002301426,423034449288,32147862,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,12
3,423238517988,423282440417,43922429,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,12
0,433783819385,433797345697,13526312,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,24
1,433938126723,433959864895,21738172,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,24
2,434170306552,434202866645,32560093,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,24
3,434406487020,434449632011,43144991,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,24
0,417267531784,417281020922,13489138,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,6
1,417474175981,417495911443,21735462,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,6
2,417706303495,417738897282,32593787,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,6
3,417942519707,417985406652,42886945,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,6
0,434688768245,434702284376,13516131,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,25
1,434842126328,434863859470,21733142,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,25
2,435074305847,435107927916,33622069,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,25
3,435322484024,435367407253,44923229,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,25
0,418199509625,418212997852,13488227,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,7
1,418406136580,418427838009,21701429,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,7
2,418638296697,418671778542,33481845,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,7
3,418790572982,418834904181,44331199,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,7
0,423644326265,423657829565,13503300,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,13
1,423854136069,423875898584,21762515,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,13
2,424074301687,424107707575,33405888,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,13
3,424310482016,424354709565,44227549,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,13
0,436467561487,436481108721,13547234,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,27
1,436622129951,436643835460,21705509,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,27
2,436854300829,436887021789,32720960,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,27
3,437090490559,437135114047,44623488,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,27
0,416331560444,416345078875,13518431,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,5
1,416538127104,416559849864,21722760,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,5
2,416770306663,416803007950,32701287,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,r,262144,2,5
