Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,335303580835,335317101986,13521151,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,5
1,335458148859,335480328175,22179316,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,5
2,335690302225,335723344837,33042612,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,5
3,335926500726,335969071139,42570413,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,5
0,353443971642,353457503905,13532263,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,25
1,353650138912,353672269933,22131021,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,25
2,353882309890,353916019198,33709308,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,25
3,354118499229,354163458352,44959123,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,25
0,342595804244,342609308183,13503939,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,13
1,342750146485,342772245193,22098708,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,13
2,342982300071,343016390888,34090817,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,13
3,343218498392,343263316350,44817958,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,13
0,341659677059,341673237264,13560205,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,12
1,341866148189,341888322364,22174175,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,12
2,342098301395,342130675470,32374075,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,12
3,342334499545,342378053527,43553982,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,12
0,334419660056,334433186748,13526692,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,4
1,334574150283,334596289775,22139492,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,4
2,334806304069,334840674413,34370344,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,4
3,335042492888,335087242599,44749711,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,4
0,352559773186,352573272195,13499009,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,24
1,352714133299,352736311435,22178136,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,24
2,352946303957,352979249639,32945682,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,24
3,353182501997,353226488082,43986085,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,24
0,339823630106,339837137836,13507730,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,10
1,340030179324,340052366301,22186977,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,10
2,340262306777,340296232007,33925230,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,10
3,340498487926,340543535077,45047151,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,10
0,354379682526,354393232180,13549654,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,26
1,354586179769,354608336423,22156654,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,26
2,354818307172,354850953644,32646472,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,26
3,355054568529,355098266135,43697606,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,26
0,336183698964,336197204684,13505720,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,6
1,336338145786,336360272397,22126611,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,6
2,336570308183,336603384858,33076675,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,6
3,336806479691,336851677787,45198096,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,6
0,348023698894,348037185541,13486647,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,19
1,348178137055,348200340523,22203468,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,19
2,348410299212,348442679097,32379885,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,19
3,348646560609,348689360465,42799856,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,19
0,355316194790,355329703179,13508389,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,27
1,355470135081,355492253081,22118000,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,27
2,355702305899,355735117077,32811178,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,27
3,355950483886,355995292173,44808287,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,27
0,337067732484,337081260886,13528402,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,7
1,337274125507,337296226025,22100518,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,7
2,337506305015,337540372399,34067384,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,7
3,337742485864,337787547506,45061642,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,7
0,347092054237,347105579808,13525571,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,18
1,347298131617,347320317724,22186107,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,18
2,347530302575,347563204983,32902408,131072000,131072000,0x00040000,0x00040000,c,w,262144,2,c,w,262144,2,18
