Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,962588349614,962602588817,14239203,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,22
1,962798257688,962813458147,15200459,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,22
2,963026487672,963044469029,17981357,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,22
3,963246712986,963267972270,21259284,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,22
0,17098381806738,17098396035520,14228782,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,6
1,17098590338044,17098605530002,15191958,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,6
2,17098818539025,17098836384098,17845073,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,6
3,17099038747638,17099060230454,21482816,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,6
0,783996403937,784010634269,14230332,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,14
1,784150347198,784165541837,15194639,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,14
2,784378516957,784396397883,17880926,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,14
3,784598690176,784620258431,21568255,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,14
0,732068898376,732083203265,14304889,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,7
1,732278276646,732293501828,15225182,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,7
2,732506516071,732524474906,17958835,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,7
3,732730698281,732752880387,22182106,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,r,4194304,2,7
