Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1067952360082,1067966581463,14221381,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,7
1,1068162412760,1068177356743,14943983,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,7
2,1068390719481,1068407096528,16377047,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,7
3,1068611126804,1068659119839,47993035,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,7
0,1266612342941,1266626583534,14240593,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,22
1,1266822522142,1266837466085,14943943,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,22
2,1267050701161,1267067616701,16915540,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,22
3,1267271086761,1267317535112,46448351,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,22
0,1110096374034,1110110557891,14183857,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,14
1,1110306551034,1110321501108,14950074,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,14
2,1110534734113,1110551205729,16471616,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,14
3,1110755098312,1110801235471,46137159,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,14
0,1115068375382,1115082568120,14192738,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,15
1,1115278449702,1115293389625,14939923,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,15
2,1115506716900,1115523084995,16368095,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,15
3,1115727125593,1115774576884,47451291,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,15
0,1063148402644,1063162650497,14247853,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,6
1,1063358442430,1063373393344,14950914,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,6
2,1063586727870,1063603086104,16358234,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,6
3,1063807157165,1063855469252,48312087,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,6
0,1270580332812,1270594563014,14230202,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,23
1,1270790531864,1270805482328,14950464,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,23
2,1271018733776,1271035081589,16347813,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,23
3,1271243058180,1271290282598,47224418,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,23
0,1124672365856,1124686600218,14234362,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,17
1,1124882600082,1124897571978,14971896,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,17
2,1125110716875,1125127143496,16426621,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,17
3,1125335100055,1125380537945,45437890,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,17
0,1307808302346,1307822503295,14200949,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,28
1,1308018523301,1308033489456,14966155,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,28
2,1308246713911,1308263793538,17079627,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,28
3,1308471053077,1308516896327,45843250,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,28
0,1262432444718,1262446677610,14232892,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,21
1,1262642599946,1262657559871,14959925,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,21
2,1262870821639,1262887187564,16365925,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,21
3,1263095109619,1263140934598,45824979,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,21
0,1050728338556,1050742581919,14243363,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,4
1,1050938447219,1050953407454,14960235,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,4
2,1051166732789,1051183082902,16350113,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,4
3,1051387088766,1051432427496,45338730,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,4
0,1139368336726,1139382548656,14211930,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,20
1,1139578517097,1139593475722,14958625,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,20
2,1139806739620,1139823106966,16367346,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,20
3,1140027121850,1140073579452,46457602,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,20
0,1316756331578,1316770558450,14226872,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,30
1,1316966572785,1316981529070,14956285,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,30
2,1317194724141,1317211475515,16751374,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,30
3,1317419108971,1317465561253,46452282,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,w,4194304,2,30
