Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1396888341655,1396901769796,13428141,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,9
1,1397098320005,1397113043166,14723161,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,9
2,1397326513976,1397344630766,18116790,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,9
3,1397550708667,1397572615535,21906868,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,9
0,1433420383164,1433433812326,13429162,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,13
1,1433630292138,1433645008008,14715870,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,13
2,1433858522562,1433876134592,17612030,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,13
3,1434078703972,1434100738253,22034281,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,13
0,1661632365367,1661645835883,13470516,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,25
1,1661842369930,1661857093491,14723561,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,25
2,1662070537768,1662088527675,17989907,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,25
3,1662290704286,1662312505645,21801359,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,25
0,1657320387626,1657333803547,13415921,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,24
1,1657530357446,1657545095848,14738402,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,24
2,1657758508162,1657776221452,17713290,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,24
3,1657978699063,1658000828504,22129441,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,24
0,1342364369602,1342377813315,13443713,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,1
1,1342574330841,1342589066993,14736152,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,1
2,1342802491398,1342820216089,17724691,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,1
3,1343026709721,1343048781997,22072276,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,1
0,1392384447458,1392397858678,13411220,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,8
1,1392594277694,1392608999735,14722041,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,8
2,1392822480395,1392840584584,18104189,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,8
3,1393042698749,1393064826670,22127921,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,8
0,1429540348342,1429553754861,13406519,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,12
1,1429750335393,1429765046883,14711490,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,12
2,1429978513032,1429996476347,17963315,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,12
3,1430202705113,1430224865177,22160064,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,r,4194304,2,12
