Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,253916474434,253929942009,13467575,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,13
1,254126452354,254140728700,14276346,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,13
2,254354717942,254370523381,15805439,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,13
3,254575096451,254621356954,46260503,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,13
0,1761432921359,1761446336670,13415311,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,1
1,1761642592219,1761656880647,14288428,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,1
2,1761870741295,1761886547474,15806179,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,1
3,1762091054788,1762136786298,45731510,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,1
0,420736328727,420749736616,13407889,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,25
1,420946548381,420960839419,14291038,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,25
2,421174747982,421192322848,17574866,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,25
3,421399054184,421446534799,47480615,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,25
0,226476356414,226489809258,13452844,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,8
1,226686523533,226700783408,14259875,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,8
2,226914784250,226930587509,15803259,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,8
3,227135072591,227180210491,45137900,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,8
0,416784355367,416797769827,13414460,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,24
1,416994548469,417008843167,14294698,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,24
2,417222757251,417238565520,15808269,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,24
3,417443087905,417489815344,46727439,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,24
0,230464329431,230477726079,13396648,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,9
1,230674525213,230688816121,14290908,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,9
2,230902747236,230920362066,17614830,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,9
3,231127144398,231173918591,46774193,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,9
0,249716330387,249729780771,13450384,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,w,4194304,2,12
