Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,349692322238,349706523277,14201039,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,5
1,349902164985,349917278315,15113330,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,5
2,350130361256,350228816653,98455397,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,5
3,350430635889,351005133581,574497692,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,5
0,415080356118,415094574819,14218701,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,14
1,415302135987,415317241597,15105610,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,14
2,415530350410,415626743741,96393331,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,14
3,415830668487,416406141847,575473360,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,14
0,469032345320,469046573771,14228451,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,22
1,469186163299,469201265158,15101859,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,22
2,469414333277,469512405566,98072289,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,22
3,469714624611,470281826164,567201553,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,22
0,481204388396,481218612347,14223951,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,23
1,481358154190,481373282752,15128562,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,23
2,481539970837,481554945553,14974716,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,23
3,481790684737,482365031524,574346787,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,23
0,345132340168,345146554258,14214090,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,4
1,345342140390,345357153391,15013001,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,4
2,345523964758,345539077938,15113180,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,4
3,345774687119,346348121575,573434456,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,4
0,420064320182,420078541093,14220911,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,15
1,420274137176,420289242995,15105819,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,15
2,420502344258,420599993175,97648917,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,15
3,420802652304,421372904652,570252348,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,15
0,463988441977,464002685490,14243513,131072000,0,0x00040000,0x00400000,c,r,262144,4,c,x,4194304,2,21
