Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,767700374274,767713788424,13414150,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,25
1,767910148744,767924575355,14426611,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,25
2,768138345424,768239614423,101268999,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,25
3,768442646579,769034702386,592055807,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,25
0,554856340693,554869761554,13420861,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,3
1,555066140206,555080586159,14445953,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,3
2,555294345127,555392615156,98270029,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,3
3,555594618680,556186230402,591611722,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,3
0,690340373769,690353805241,13431472,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,13
1,690550156140,690564585651,14429511,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,13
2,690778343119,690879671204,101328085,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,13
3,691082604210,691669768658,587164448,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,13
0,686108329695,686121771678,13441983,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,12
1,686318137838,686332575351,14437513,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,12
2,686546351841,686646464084,100112243,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,12
3,686850663167,687444269108,593605941,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,12
0,549836388664,549849814175,13425511,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,2
1,550046133801,550060570283,14436482,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,2
2,550274321991,550375514792,101192801,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,2
3,550578649768,551175050189,596400421,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,2
0,762676374570,762689800061,13425491,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,24
1,762886140009,762900616635,14476626,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,24
2,763114318198,763215433701,101115503,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,24
3,763418622043,764009673639,591051596,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,24
0,586360354266,586373770717,13416451,131072000,131072000,0x00040000,0x00400000,c,w,262144,4,c,x,4194304,2,9
