Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,203110669234693,203110670529612,1294919,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,r,2097152,2
1,203110868118064,203110869465959,1347895,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,r,2097152,2
2,203111084403075,203111085763171,1360096,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,r,2097152,2
3,203111292743442,203111294107798,1364356,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,r,2097152,2
0,209098336583514,209098337877203,1293689,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,w,2097152,2
1,209098536233502,209098537660935,1427433,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,w,2097152,2
2,209098752630754,209098754090600,1459846,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,w,2097152,2
3,209098961119936,209098962586072,1466136,16384000,0,0x00008000,0x00200000,c,l,32768,2,c,w,2097152,2
0,203369007607100,203371295909131,2288302031,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,r,2097152,2
1,203371492114455,203373877208647,2385094192,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,r,2097152,2
2,203374092419420,203376519595957,2427176537,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,r,2097152,2
3,203376724682369,203379245618373,2520936004,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,r,2097152,2
0,209441036783079,209443388210867,2351427788,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,w,2097152,2
1,209443584237653,209448021040366,4436802713,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,w,2097152,2
2,209448236650229,209452956102434,4719452205,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,w,2097152,2
3,209453161093606,209458833883665,5672790059,1048576000,0,0x00200000,0x00200000,c,l,2097152,2,c,w,2097152,2
0,209890443945815,209895393266838,4949321023,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,w,2097152,2
1,209895604233027,209904587848925,8983615898,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,w,2097152,2
2,209904800621594,209914367948605,9567327011,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,w,2097152,2
3,209914573064829,209926534809114,11961744285,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,w,2097152,2
0,209107949376077,209107956573686,7197609,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,w,2097152,2
1,209108152232986,209108160170699,7937713,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,w,2097152,2
2,209108376604384,209108385577461,8973077,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,w,2097152,2
3,209108593030119,209108614430487,21400368,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,w,2097152,2
0,203705612315191,203710560548554,4948233363,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,r,2097152,2
1,203710756089092,203715774069175,5017980083,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,r,2097152,2
2,203715988412081,203721086376786,5097964705,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,r,2097152,2
3,203721292683299,203726554931718,5262248419,2097152000,0,0x00400000,0x00200000,c,l,4194304,2,c,r,2097152,2
0,203120237182315,203120244411117,7228802,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,r,2097152,2
1,203120440103380,203120448190418,8087038,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,r,2097152,2
2,203120664426254,203120673215362,8789108,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,r,2097152,2
3,203120880712325,203120890048138,9335813,32768000,0,0x00010000,0x00200000,c,l,65536,2,c,r,2097152,2
0,209157348424882,209157416985822,68560940,262144000,0,0x00080000,0x00200000,c,l,524288,2,c,w,2097152,2
1,209157612239451,209158718832829,1106593378,262144000,0,0x00080000,0x00200000,c,l,524288,2,c,w,2097152,2
