Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,2002572559549,2007526277971,4953718422,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,23
1,2007722253082,2012748074228,5025821146,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,23
2,2012958484121,2018068886479,5110402358,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,23
3,2018274675450,2023580546948,5305871498,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,23
0,193896815587,198844238350,4947422763,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,3
1,198945779276,203964000812,5018221536,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,3
2,204174490564,209278061268,5103570704,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,3
3,209482660961,214781198816,5298537855,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,3
0,1046251025917,1051207472521,4956446604,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,15
1,1051402252113,1056431453506,5029201393,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,15
2,1056642475371,1061752261777,5109786406,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,15
3,1061954666170,1067259521727,5304855557,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,15
0,1004747017912,1009699151125,4952133213,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,14
1,1009894250859,1014921249733,5026998874,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,14
2,1015134475218,1020243885826,5109410608,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,14
3,1020446673018,1025753886940,5307213922,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,14
0,172701332094,177650498661,4949166567,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,r,4194304,2,2
