Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,2104573357132,2109521886265,4948529133,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,23
1,2109718385439,2118600108766,8881723327,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,23
2,2118802670225,2127936661248,9133991023,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,23
3,2128142956591,2138557245197,10414288606,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,23
0,976079579851,981028116185,4948536334,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,15
1,981222392936,990120153526,8897760590,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,15
2,990330651608,999535390640,9204739032,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,15
3,999742971241,1010181696989,10438725748,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,15
0,162309946296,167258131295,4948184999,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,2
1,167454392914,176364932611,8910539697,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,2
2,176578706800,185725552388,9146845588,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,2
3,185930996975,196405339522,10474342547,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,2
0,203918020628,208866014198,4947993570,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,3
1,209062379858,217971729035,8909349177,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,3
2,218182665972,227289687260,9107021288,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,3
3,227494928957,237931334143,10436405186,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,3
0,927969488035,932918773534,4949285499,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,14
1,933114382499,942013613385,8899230886,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,14
2,942226640490,951388166984,9161526494,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,14
3,951591014612,961965070759,10374056147,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,14
0,2053150407645,2058099658850,4949251205,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,22
1,2058294385457,2067181743947,8887358490,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,22
2,2067394660051,2076569484034,9174823983,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,22
3,2076774948753,2087141242224,10366293471,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,22
0,96170296317,101117845772,4947549455,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,1
1,101314430724,110198741140,8884310416,2097152000,0,0x00400000,0x00400000,c,l,4194304,2,c,w,4194304,2,1
