Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1286973999832,1288192643285,1218643453,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,6
1,1288294175750,1289521004671,1226828921,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,6
2,1289734478231,1290968281769,1233803538,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,6
3,1291170660360,1292404206903,1233546543,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,6
0,306467055711,307685667041,1218611330,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,25
1,307882244512,309111313837,1229069325,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,25
2,309322462175,310556405087,1233942912,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,25
3,310758662086,311994757573,1236095487,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,25
0,185760606170,186976984067,1216377897,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,13
1,187170253688,188399195830,1228942142,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,13
2,188610480031,189844452076,1233972045,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,13
3,190050671941,191286815003,1236143062,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,13
0,173117089505,174337694915,1220605410,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,12
1,174534261195,175763235741,1228974546,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,12
2,175974478237,177208506388,1234028151,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,12
3,177414670647,178650568255,1235897608,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,12
0,296292875685,297509402977,1216527292,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,24
1,297702210842,298929577747,1227366905,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,24
2,299130481441,300364221032,1233739591,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,24
3,300566673571,301800736205,1234062634,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,24
0,1294633840872,1295852607838,1218766966,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,7
1,1295954146943,1297184871694,1230724751,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,7
2,1297398478487,1298632279125,1233800638,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,7
3,1298834677358,1300070751573,1236074215,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,7
0,81052166105,82269312369,1217146264,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,10
1,82462247207,83691200950,1228953743,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,10
2,83902464669,85136536694,1234072025,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,10
3,85338672881,86573056317,1234383436,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,10
0,244512169502,245730974281,1218804779,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,19
1,245926270025,247153453431,1227183406,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,19
2,247366489047,248600270753,1233781706,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,19
3,248802669676,250037061233,1234391557,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,19
0,316875589272,318091045407,1215456135,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,26
1,318286247941,319512689434,1226441493,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,26
2,319726490876,320958092524,1231601648,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,26
3,321162681696,322396252171,1233570475,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,26
0,1279313915578,1280530273493,1216357915,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,5
1,1280631825750,1281860944730,1229118980,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,5
2,1282074472795,1283308107426,1233634631,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,5
3,1283510671336,1284746629359,1235958023,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,5
0,235156816781,236373450894,1216634113,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,18
1,236566282541,237795414682,1229132141,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,18
2,238006472091,239238050807,1231578716,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,18
3,239442662021,240678491761,1235829740,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,18
0,1271653770597,1272872605820,1218835223,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,4
1,1272974155197,1274203172066,1229016869,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,4
2,1274414491671,1275645995639,1231503968,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,4
3,1275850692302,1277086741725,1236049423,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,4
0,345815769574,347034932389,1219162815,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,27
1,347230273847,348456796578,1226522731,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,27
2,348670482539,349904330542,1233848003,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,27
3,350106690931,351340100360,1233409429,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,27
0,151885188523,153103982621,1218794098,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,11
1,153298246292,154527189964,1228943672,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,11
2,154738481416,155969972683,1231491267,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,11
3,156174672546,157408162963,1233490417,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,11
0,52837325287,54059233867,1221908580,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,8
1,54254263914,55483240880,1228976966,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,8
2,55694489187,56928372673,1233883486,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,8
3,57130662306,58366718089,1236055783,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,8
0,195554912120,196773750332,1218838212,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,14
1,196970257777,198199281297,1229023520,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,14
2,198410476710,199641935353,1231458643,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,14
3,199846673740,201082688789,1236015049,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,14
0,1248576769478,1249795594790,1218825312,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,1
1,1249897145576,1251123699080,1226553504,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,1
2,1251334470510,1252568372298,1233901788,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,1
3,1252774672221,1254010686400,1236014179,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,1
0,273137476202,274355089863,1217613661,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,22
1,274456646230,275685556039,1228909809,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,22
2,275886479485,277118011106,1231531621,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,22
3,277322679106,278558815907,1236136801,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,22
0,283955352954,285173597908,1218244954,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,23
1,285382253586,286611080137,1228826551,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,23
2,286822496411,288054037263,1231540852,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,23
3,288258661509,289494708981,1236047472,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,23
0,63644701140,64861060455,1216359315,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,9
1,65054262840,66283323654,1229060814,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,9
2,66494469161,67725942686,1231473525,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,9
3,67930676643,69166669020,1235992377,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,9
0,208062592162,209281184780,1218592618,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,15
1,209474248121,210703056260,1228808139,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,15
2,210914475454,212148531178,1234055724,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,15
3,212350665104,213586753851,1236088747,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,15
0,263542098509,264760937432,1218838923,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,21
1,264954260948,266181078849,1226817901,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,21
2,266394478651,267628338355,1233859704,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,21
3,267830670171,269066634125,1235963954,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,21
0,1256237819079,1257455533969,1217714890,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,2
1,1257650269917,1258879015550,1228745633,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,2,2
