Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,472154150072,473376181284,1222031212,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,25
1,473570384488,474792457284,1222072796,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,25
2,475006718963,476242547653,1235828690,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,25
3,476446968558,477943592627,1496624069,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,25
0,154492932211,155710709188,1217776977,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,7
1,155906388630,157130794829,1224406199,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,7
2,157342652967,158576823082,1234170115,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,7
3,158782991912,160282563855,1499571943,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,7
0,195031621874,196250068538,1218446664,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,13
1,196446389444,197670903484,1224514040,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,13
2,197882691765,199119574581,1236882816,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,13
3,199326945571,200824572410,1497626839,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,13
0,185706677562,186922916945,1216239383,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,12
1,187118398537,188340915838,1222517301,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,12
2,188554639082,189795550671,1240911589,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,12
3,190003009299,191502665121,1499655822,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,12
0,141401246617,142619660287,1218413670,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,6
1,142814388664,144038804434,1224415770,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,6
2,144250636860,145483587393,1232950533,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,6
3,145690949922,147167522727,1476572805,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,6
0,451374436331,452593006317,1218569986,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,24
1,452786379459,454010786168,1224406709,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,24
2,454222707932,455457894879,1235186947,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,24
3,455663011434,457145392349,1482380915,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,24
0,167282543354,168499624241,1217080887,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,10
1,168694386601,169918818573,1224431972,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,10
2,170130644028,171365940486,1235296458,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,10
3,171570941709,173048437186,1477495477,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,10
0,79576117673,80794902360,1218784687,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,4
1,80990389583,82212844687,1222455104,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,4
2,82426672222,83660254788,1233582566,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,4
3,83867026588,85355433016,1488406428,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,4
0,485461009436,486677936648,1216927212,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,26
1,486874401458,488096529830,1222128372,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,26
2,488310649334,489547094876,1236445542,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,26
3,489754965436,491227813389,1472847953,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,26
0,282016217452,283234953034,1218735582,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,19
1,283430398603,284655081660,1224683057,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,19
2,284858759211,286095509863,1236750652,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,19
3,286303093684,287783703603,1480609919,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,19
0,495476419368,496695255461,1218836093,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,27
1,496890444183,498112600028,1222155845,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,27
2,498314673308,499550058625,1235385317,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,27
3,499754950537,501252002228,1497051691,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,27
0,257643245643,258861983055,1218737412,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,18
1,259058376488,260282863416,1224486928,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,18
2,260494655297,261732077997,1237422700,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,18
3,261938953018,263429891068,1490938050,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,18
0,115818184719,117036840603,1218655884,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,5
1,117234430186,118459080680,1224650494,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,5
2,118670701134,119907374649,1236673515,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,5
3,120114969982,121610913472,1495943490,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,5
0,176476115740,177693045462,1216929722,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,11
1,177886378129,179110268897,1223890768,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,11
2,179322657578,180555934694,1233277116,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,11
3,180758961950,182236583050,1477621100,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,11
0,206966642608,208184326426,1217683818,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,14
1,208378382205,209603066232,1224684027,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,14
2,209814630181,211051203606,1236573425,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,14
3,211258929851,212743619468,1484689617,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,14
0,49460511666,50676590223,1216078557,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,9
1,50870382426,52092572974,1222190548,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,9
2,52294756386,53530380236,1235623850,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,9
3,53734946256,55220184147,1485237891,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,9
0,428630156216,429847391669,1217235453,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,22
1,430042399954,431265657198,1223257244,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,22
2,431478686694,432713946537,1235259843,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,22
3,432919008966,434397899483,1478890517,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,22
0,177143732416,178362559458,1218827042,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,8
1,178558397175,179780606375,1222209200,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,8
2,179994647571,181229201755,1234554184,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,8
3,181434979435,182916413936,1481434501,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,8
0,441109024410,442328686615,1219662205,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,23
1,442522374788,443746806070,1224431282,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,23
2,443958736745,445192775547,1234038802,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,23
3,445398945367,446881667026,1482721659,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,23
0,215687146406,216908344325,1221197919,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,15
1,217102383643,218324409894,1222026251,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,15
2,218538659942,219774288502,1235628560,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,15
3,219978982785,221453945739,1474962954,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,15
0,39563807895,40780225886,1216417991,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,1
1,40974409818,42198895545,1224485727,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,1
2,42402672526,43638192216,1235519690,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,1
3,43843048424,45324978165,1481929741,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,1
0,416815855554,418033155114,1217299560,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,21
1,418226372719,419448839335,1222466616,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,21
2,419662512174,420897808012,1235295838,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,21
3,421008648567,422508110339,1499461772,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,21
0,246662634401,247881538440,1218904039,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,17
1,248074375368,249297858715,1223483347,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,17
2,249510700961,250745071676,1234370715,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,17
3,250950971659,252435536283,1484564624,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,17
0,61080974500,62298190801,1217216301,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,3
1,62494387294,63716669651,1222282357,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,3
2,63918681726,65154576233,1235894507,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,3
3,65359005669,66864583942,1505578273,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,3
0,507679848380,508898690624,1218842244,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,28
1,509094390367,510317538871,1223148504,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,28
2,510530649985,511765347802,1234697817,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,28
3,511970953166,513459603707,1488650541,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,28
0,49824580272,51043399623,1218819351,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,2
1,51238400987,52462648021,1224247034,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,2
2,52674712430,53912605386,1237892956,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,2
3,54118998639,55599205307,1480206668,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,2
0,235781102238,236997910788,1216808550,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,16
1,237194389440,238418787008,1224397568,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,16
2,238630649077,239866331213,1235682136,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,16
3,240070978891,241547961877,1476982986,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,16
0,622357540845,623576356865,1218816020,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,29
1,623770386242,624992709753,1222323511,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,29
2,625206643909,626442503093,1235859184,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,29
3,626647216497,628137904732,1490688235,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,29
0,642216899306,643436025778,1219126472,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,30
1,643630399849,644854990567,1224590718,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,30
2,645066690309,646304574765,1237884456,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,30
3,646510971358,648025487974,1514516616,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,30
0,401281300335,402500137548,1218837213,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,20
1,402694394668,403919018569,1224623901,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,20
2,404130847774,405367073684,1236225910,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,20
3,405570943364,407045358264,1474414900,2097152000,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,2,20
