Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1168461636718,1170544629315,2082992597,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,30
1,1170738258912,1173000627571,2262368659,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,30
2,1173214476819,1175525116211,2310639392,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,30
3,1175730672070,1178040298101,2309626031,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,30
0,756989070250,759076107491,2087037241,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,20
1,759270250109,761510558135,2240308026,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,20
2,761722491621,764019338415,2296846794,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,20
3,764222661070,766511090394,2288429324,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,20
0,172689141566,174779586677,2090445111,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,8
1,174974254198,177216010958,2241756760,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,8
2,177426467996,179721307260,2294839264,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,8
3,179926665159,182258434673,2331769514,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,8
0,504090107733,506167438835,2077331102,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,16
1,506362241249,508621461904,2259220655,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,16
2,508822486530,511114405962,2291919432,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,16
3,511318663871,513641083620,2322419749,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,16
0,63070572665,65165949929,2095377264,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,1
1,65362260624,67639085218,2276824594,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,1
2,67850493242,70188013460,2337520218,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,1
3,70390690291,72711281738,2320591447,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,1
0,1136095122006,1138181804862,2086682856,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,29
1,1138378251170,1140612855206,2234604036,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,29
2,1140826464619,1143105262170,2278797551,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,29
3,1143310661233,1145633416696,2322755463,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,29
0,567935825209,570018480702,2082655493,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,17
1,570214248253,572471224473,2256976220,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,17
2,572682471861,575031505990,2349034129,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,17
3,575234658118,577544041705,2309383587,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,17
0,1123184567620,1125266290600,2081722980,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,28
1,1125462257820,1127715397458,2253139638,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,28
2,1127926506251,1130196050428,2269544177,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,28
3,1130398660312,1132721331757,2322671445,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,28
0,775536906648,777616364732,2079458084,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,21
1,777810273577,780089250786,2278977209,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,21
2,780302463419,782578667411,2276203992,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,21
3,782782658443,785102685024,2320026581,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,21
0,186321159979,188411967207,2090807228,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,9
1,188606261690,190857271185,2251009495,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,9
2,191070456786,193356656396,2286199610,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,9
3,193562666660,195876539956,2313873296,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,9
0,433565092021,435661835932,2096743911,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,15
1,435858252357,438103530649,2245278292,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,15
2,438314484747,440607021661,2292536914,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,15
3,440810681050,443149071226,2338390176,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,15
0,76447372708,78537890546,2090517838,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,2
1,78734251406,81006649778,2272398372,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,2
2,81218498365,83507244590,2288746225,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,2
3,83710673876,86013215550,2302541674,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,2
0,827682043574,829774959053,2092915479,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,23
1,829982251485,832243778190,2261526705,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,23
2,832454458501,834739970243,2285511742,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,23
3,834942657895,837244923021,2302265126,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,23
0,804222680601,806310270427,2087589826,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,22
1,806506252539,808769707277,2263454738,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,22
2,808982469255,811271342033,2288872778,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,22
3,811474653477,813833897466,2359243989,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,22
0,395142587292,397224846946,2082259654,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,14
1,397418241099,399652836183,2234595084,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,14
2,399866507483,402177082489,2310575006,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,14
3,402382658420,404710546166,2327887746,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,14
0,90398052191,92490417264,2092365073,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,3
1,92686253511,94914772929,2228519418,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,3
2,95126489843,97405384684,2278894841,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,3
3,97610678756,99924034720,2313355964,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,3
0,138881416653,140968941762,2087525109,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,6
1,141162247797,143431038048,2268790251,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,6
2,143642467264,145940037300,2297570036,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,6
3,146142656035,148499848980,2357192945,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,6
0,220121149059,222211198891,2090049832,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,11
1,222406242470,224670159584,2263917114,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,11
2,224882469557,227188495069,2306025512,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,11
3,227390670070,229710042415,2319372345,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,11
0,1087001740133,1089098942380,2097202247,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,27
1,1089294266536,1091577493470,2283226934,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,27
2,1091790493102,1094095262568,2304769466,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,27
3,1094298658271,1096604772431,2306114160,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,27
0,587346153895,589437105487,2090951592,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,18
1,589630249685,591891095092,2260845407,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,18
2,592102481954,594415026097,2312544143,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,18
3,594618669704,596968337306,2349667602,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,18
0,1052235087306,1054329753620,2094666314,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,26
1,1054526262994,1056779382440,2253119446,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,26
2,1056990493223,1059294529946,2304036723,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,26
3,1059498656962,1061799518588,2300861626,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,26
0,723292677671,725374556927,2081879256,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,19
1,725570254280,727811684998,2241430718,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,2,19
