Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,331036097229,333116895607,2080798378,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,20
1,333310389520,335612690270,2302300750,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,20
2,335814673311,338188443792,2373770481,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,20
3,338394993060,341123968111,2728975051,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,20
0,474235202814,476314397911,2079195097,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,30
1,476510404125,478761349893,2250945768,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,30
2,478962768899,481337300205,2374531306,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,30
3,481542964325,484260799073,2717834748,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,30
0,459571264634,461642348291,2071083657,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,29
1,461838434343,464098643607,2260209264,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,29
2,464310683363,466738479202,2427795839,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,29
3,466947047431,469682756126,2735708695,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,29
0,81326680013,83402528576,2075848563,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,9
1,83598407678,85869972116,2271564438,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,9
2,86082708492,88509761516,2427053024,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,9
3,88714962560,91457242951,2742280391,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,9
0,265110721080,267192069473,2081348393,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,16
1,267386595979,269662435865,2275839886,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,16
2,269874654519,272243516189,2368861670,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,16
3,272450989809,275169946490,2718956681,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,16
0,445611075751,447692369098,2081293347,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,28
1,447898491493,450150984936,2252493443,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,28
2,450362649465,452800988297,2438338832,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,28
3,453006996211,455735326758,2728330547,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,28
0,94621658280,96704104972,2082446692,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,8
1,96898380394,99166170415,2267790021,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,8
2,99378643915,101751410925,2372767010,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,8
3,101955022839,104665957848,2710935009,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,8
0,279351822561,281438389725,2086567164,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,17
1,281634391049,283899925935,2265534886,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,17
2,284110661401,286518188735,2407527334,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,17
3,286722995728,289434818416,2711822688,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,17
0,343644770643,345724181302,2079410659,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,21
1,345918398557,348165056377,2246657820,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,21
2,348366711206,350792375742,2425664536,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,21
3,350999012558,353717275509,2718262951,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,21
0,1014535324591,1016620796406,2085471815,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,1
1,1016722397837,1018968573419,2246175582,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,1
2,1019182631017,1021611923025,2429292008,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,1
3,1021819038990,1024524997931,2705958941,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,1
0,240879242699,242975598861,2096356162,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,15
1,243170415946,245433244242,2262828296,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,15
2,245634652916,248049739025,2415086109,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,15
3,248254989043,250960246695,2705257652,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,15
0,374051092137,376136757811,2085665674,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,23
1,376330388738,378615666597,2285277859,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,23
2,378826659299,381196182355,2369523056,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,23
3,381402968316,384113744580,2710776264,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,23
0,1038981726347,1041066145197,2084418850,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,3
1,1041167872021,1043414474155,2246602134,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,3
2,1043626660906,1045965445341,2338784435,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,3
3,1046171067446,1048889882693,2718815247,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,3
0,359875643766,361961750244,2086106478,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,22
1,362290432635,364570331316,2279898681,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,22
2,364782665382,367192640350,2409974968,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,22
3,367399025552,370118633827,2719608275,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,22
0,1026753856963,1028848070961,2094213998,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,2
1,1028949768202,1031195938163,2246169961,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,2
2,1031406691581,1033830591870,2423900289,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,2
3,1034035007055,1036753367476,2718360421,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,2
0,203741290318,205839831159,2098540841,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,14
1,206034392799,208292498923,2258106124,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,14
2,208506652410,210829033326,2322380916,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,14
3,211034965412,213774204909,2739239497,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,14
0,124370743726,126463339572,2092595846,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,11
1,126658391881,128917527837,2259135956,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,11
2,129130641141,131543042682,2412401541,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,11
3,131746977858,134429952223,2682974365,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,11
0,1087981672595,1090069676572,2088003977,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,7
1,1090171335530,1092433325042,2261989512,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,7
2,1092646660377,1095073978948,2427318571,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,7
3,1095278996803,1097987535493,2708538690,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,7
0,293168903455,295258757008,2089853553,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,18
1,295454384244,297734086116,2279701872,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,18
2,297946626002,300366468326,2419842324,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,18
3,300570976180,303269650314,2698674134,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,18
0,431176404139,433246002357,2069598218,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,27
1,433442372368,435703798823,2261426455,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,27
2,435914647131,438251806043,2337158912,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,27
3,438454965552,441161884500,2706918948,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,27
0,1075709512785,1077769623195,2060110410,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,6
1,1077966409958,1080227820492,2261410534,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,6
2,1080438686441,1082852961128,2414274687,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,6
3,1083058989384,1085754574749,2695585365,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,6
0,315643481972,317745857886,2102375914,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,19
1,317942570461,320206622709,2264052248,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,19
2,320418658515,322775807734,2357149219,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,19
3,322982977414,325687707663,2704730249,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,19
0,415981023619,418061281682,2080258063,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,26
1,418254377136,420511552857,2257175721,2097152000,2097152000,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,2,26
