Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,127913671506,127914977507,1306001,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,2
1,128110511084,128111895962,1384878,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,2
2,128322706516,128324111896,1405380,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,2
3,128527204289,128528673936,1469647,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,w,1572864,2
0,118217515664,118218814833,1299169,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,2
1,118414288695,118415660892,1372197,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,2
2,118626466865,118627853713,1386848,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,2
3,118830747926,118832137065,1389139,16384000,0,0x00008000,0x00180000,c,l,32768,3,c,r,1572864,2
0,852443242024,855697563637,3254321613,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,2
1,855890453520,859286436417,3395982897,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,2
2,859498701656,863028450379,3529748723,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,2
3,863231118849,867779473588,4548354739,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,w,1572864,2
0,692536130953,695858586653,3322455700,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,2
1,696054265415,699448970255,3394704840,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,2
2,699662494259,703060975906,3398481647,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,2
3,703262668989,706667767537,3405098548,1048576000,0,0x00200000,0x00180000,c,l,2097152,3,c,r,1572864,2
0,137933380488,137940598229,7217741,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,r,1572864,2
1,138134310644,138142623015,8312371,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,r,1572864,2
2,138354485043,138363373091,8888048,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,r,1572864,2
3,138566673785,138576212228,9538443,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,r,1572864,2
0,1514809373645,1521787758446,6978384801,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,r,1572864,2
1,1521982274331,1528992809574,7010535243,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,r,1572864,2
2,1529206483734,1536238642758,7032159024,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,r,1572864,2
3,1536442674024,1543489950908,7047276884,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,r,1572864,2
0,148040574350,148047776640,7202290,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,w,1572864,2
1,148242396306,148250386174,7989868,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,w,1572864,2
2,148462735591,148471854472,9118881,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,w,1572864,2
3,148675052886,148699933251,24880365,32768000,0,0x00010000,0x00180000,c,l,65536,3,c,w,1572864,2
0,1838901796123,1845881024078,6979227955,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,w,1572864,2
1,1846074380578,1853072191500,6997810922,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,w,1572864,2
2,1853282730736,1860583686297,7300955561,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,w,1572864,2
3,1860787091021,1870528454041,9741363020,2097152000,0,0x00400000,0x00180000,c,l,4194304,3,c,w,1572864,2
0,220463197466,220532033544,68836078,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,r,1572864,2
1,220726297694,221568934918,842637224,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,r,1572864,2
2,221782482685,222626089626,843606941,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,r,1572864,2
3,222830663627,223675651035,844987408,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,r,1572864,2
0,250343203393,250411859533,68656140,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,w,1572864,2
1,250606438094,251449670288,843232194,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,w,1572864,2
2,251662736627,252540804761,878068134,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,w,1572864,2
3,252747072391,253881972097,1134899706,262144000,0,0x00080000,0x00180000,c,l,524288,3,c,w,1572864,2
0,159041551777,159058063407,16511630,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,r,1572864,2
1,159254254750,159273893762,19639012,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,r,1572864,2
2,159486493484,159507663270,21169786,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,r,1572864,2
3,159710696546,159734144759,23448213,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,r,1572864,2
0,2728803868879,2757788985891,28985117012,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,r,1572864,2
1,2758162293641,2787383173809,29220880168,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,r,1572864,2
2,2787594489213,2816992887409,29398398196,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,r,1572864,2
3,2817194668020,2847124190935,29929522915,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,r,1572864,2
0,351301261269,351443185790,141924521,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
1,351638392755,353330614497,1692221742,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
2,353542704228,355301604913,1758900685,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
3,355507083863,357776495547,2269411684,524288000,0,0x00100000,0x00180000,c,l,1048576,3,c,w,1572864,2
0,4075675650670,4104658336128,28982685458,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
1,4105034417605,4134124344510,29089926905,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
2,4134518700522,4164874248584,30355548062,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
3,4165079051117,4209229909928,44150858811,8388608000,0,0x01000000,0x00180000,c,l,16777216,3,c,w,1572864,2
0,170153678290,170170318012,16639722,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
1,170366506485,170385112504,18606019,65536000,0,0x00020000,0x00180000,c,l,131072,3,c,w,1572864,2
