Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,312624991134481,312631969965537,6978831056,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,5
1,312632168103134,312639169577502,7001474368,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,5
2,312639384413327,312646416606595,7032193268,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,5
3,312646620682665,312653667542378,7046859713,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,5
0,312580851215534,312587829628688,6978413154,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,4
1,312588028105599,312595028875346,7000769747,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,4
2,312595244407322,312602276305489,7031898167,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,4
3,312602480692501,312609527237442,7046544941,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,4
0,313080607977412,313087585630989,6977653577,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,14
1,313087784121342,313094785281978,7001160636,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,14
2,313094988398773,313102020447566,7032048793,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,14
3,313102228677211,313109275416192,7046738981,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,14
0,312680209216418,312687188399638,6979183220,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,6
1,312687384105522,312694385628995,7001523473,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,6
2,312694600397924,312701632445977,7032048053,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,6
3,312701836682083,312708883290101,7046608018,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,6
0,313138002326504,313144982023766,6979697262,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,2,15
