Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,311449254123668,311456230305379,6976181711,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,4
1,311456428245416,311463417804664,6989559248,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,4
2,311463632623568,311470753175353,7120551785,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,4
3,311470961045873,311479267910262,8306864389,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,4
0,311489859067771,311496836482054,6977414283,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,5
1,311497032269147,311504022909442,6990640295,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,5
2,311504236598173,311511372917524,7136319351,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,5
3,311511580988724,311519911848620,8330859896,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,5
0,312077839284969,312084815345418,6976060449,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,14
1,312085012256582,312092001686267,6989429685,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,14
2,312092216617962,312099346465996,7129848034,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,14
3,312099552986981,312107848801816,8295814835,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,14
0,311625429414770,311632408811682,6979396912,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,7
1,311632604255310,311639595979094,6991723784,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,7
2,311639812574356,311646945807148,7133232792,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,7
3,311647152966417,311655448269340,8295302923,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,7
0,311587882237442,311594860113121,6977875679,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,6
1,311595056258580,311602046918267,6990659687,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,6
2,311602260577815,311609377790787,7117212972,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,6
3,311609584999111,311617888364960,8303365849,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,6
0,312126420383627,312133397251586,6976867959,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,15
1,312133592238238,312140582076633,6989838395,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,15
2,312140796614699,312147925070915,7128456216,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,15
3,312148132971648,312156424125807,8291154159,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,15
0,311851401841103,311858378622944,6976781841,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,10
1,311858576250650,311865566640650,6990390000,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,10
2,311865780621971,311872929352692,7148730721,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,10
3,311873136984018,311881436319924,8299335906,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,10
0,311398545019566,311405524667073,6979647507,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,3
1,311405720220582,311412712720403,6992499821,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,3
2,311412928592973,311420097732013,7169139040,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,3
3,311420305027496,311428647068779,8342041283,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,3
0,311331328794879,311338307217244,6978422365,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,2
1,311338504244000,311345496131770,6991887770,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,2
2,311345712644243,311352854731851,7142087608,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,2
3,311353061003611,311361395635864,8334632253,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,2
0,311891164529560,311898141397069,6976867509,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,11
1,311898336237847,311905326379262,6990141415,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,11
2,311905540620069,311912693909565,7153289496,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,11
3,311912900979195,311921155188342,8254209147,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,11
0,312039494100836,312046473515479,6979414643,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,13
1,312046672236155,312053663885991,6991649836,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,13
2,312053876695324,312061008308045,7131612721,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,13
3,312061217053132,312069512909041,8295855909,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,13
0,311792109677356,311799087492010,6977814654,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,9
1,311799284249699,311806274199565,6989949866,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,9
2,311806488609159,311813634156582,7145547423,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,9
3,311813840970676,311822111413486,8270442810,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,9
0,311944315677924,311951295614950,6979937026,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,12
1,311951492262348,311958484538087,6992275739,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,12
2,311958700594874,311965848814355,7148219481,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,12
3,311966056993205,311974351194599,8294201394,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,12
0,311723757439192,311730736780668,6979341476,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,2,8
