Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,98444835992584,98444848235438,12242854,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,23
1,98444990329075,98445006487540,16158465,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,23
2,98445218480201,98445242331795,23851594,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,23
3,98445446721537,98445479037306,32315769,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,23
0,98429123917828,98429136170722,12252894,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,5
1,98429278272470,98429294451247,16178777,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,5
2,98429506466211,98429530213534,23747323,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,5
3,98429734715807,98429766590432,31874625,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,5
0,98437856048668,98437868288511,12239843,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,15
1,98438010357896,98438026452934,16095038,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,15
2,98438238454017,98438262306590,23852573,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,15
3,98438466835836,98438498647084,31811248,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,15
0,98428251776906,98428264018529,12241623,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,4
1,98428406278423,98428422412635,16134212,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,4
2,98428634463983,98428658173872,23709889,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,4
3,98428862774235,98428894725938,31951703,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,4
0,98436984889094,98436997129547,12240453,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,14
1,98437138284721,98437154473568,16188847,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,14
2,98437366461580,98437390194741,23733161,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,14
3,98437594729027,98437626725144,31996117,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,14
0,98443963886376,98443976119998,12233622,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,22
1,98444118300655,98444134450838,16150183,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,22
2,98444346495985,98444370226246,23730261,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,22
3,98444574736580,98444606623276,31886696,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,22
0,98450067855817,98450080100651,12244834,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,29
1,98450222294058,98450238479146,16185088,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,29
2,98450450490359,98450474297988,23807629,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,29
3,98450678748056,98450710764475,32016419,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,29
0,98438727925863,98438740158506,12232643,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,16
1,98438882280886,98438898433670,16152784,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,16
2,98439110473676,98439134271634,23797958,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,16
3,98439338731353,98439370471905,31740552,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,16
0,98429995798044,98430008025265,12227221,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,6
1,98430150280919,98430166513331,16232412,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,6
2,98430378468089,98430402153405,23685316,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,6
3,98430606725646,98430638660337,31934691,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,6
0,98450939901170,98450952151994,12250824,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,r,4194304,3,30
