Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,98607319814983,98607332060377,12245394,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,23
1,98607474281307,98607507379944,33098637,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,23
2,98607718546783,98607790679651,72132868,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,23
3,98608007402345,98608108519538,101117193,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,23
0,98588131964397,98588144153775,12189378,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,4
1,98588286282936,98588324625577,38342641,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,4
2,98588538491656,98588607183639,68691983,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,4
3,98588823372340,98588924754390,101382050,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,4
0,98599271921680,98599284159633,12237953,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,15
1,98599426266292,98599462162859,35896567,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,15
2,98599674471472,98599742699769,68228297,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,15
3,98599959315293,98600056703143,97387850,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,15
0,98598268043096,98598280290649,12247553,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,14
1,98598422264465,98598461257031,38992566,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,14
2,98598674504998,98598741280000,66775002,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,14
3,98598947328018,98599044184015,96855997,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,14
0,98606319614486,98606331853559,12239073,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,22
1,98606474262758,98606513337172,39074414,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,22
2,98606726481349,98606787958512,61477163,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,22
3,98606995313450,98607092839434,97525984,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,22
0,98589151853291,98589164089104,12235813,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,5
1,98589306268190,98589345314361,39046171,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,5
2,98589558481430,98589620069794,61588364,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,5
3,98589827328313,98589924367139,97038826,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,5
0,98600284079072,98600296274991,12195919,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,16
1,98600438264858,98600477321110,39056252,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,16
2,98600690491040,98600757284524,66793484,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,16
3,98600963275686,98601060611251,97335565,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,16
0,98613391908100,98613404108549,12200449,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,29
1,98613546269843,98613582830336,36560493,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,29
2,98613794485974,98613858263727,63777753,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,29
3,98614079408053,98614176833917,97425864,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,29
0,98591179695308,98591191846022,12150714,20971520,0,0x00400000,0x00400000,c,r,4194304,3,c,w,4194304,3,7
