Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,98851659494310,98851679996069,20501759,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,26
1,98851814300358,98851845351691,31051333,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,26
2,98852058466985,98852099558260,41091275,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,26
3,98852306734561,98852356637317,49902756,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,26
0,98845195937530,98845216023077,20085547,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,19
1,98845350273841,98845381360177,31086336,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,19
2,98845594485282,98845635638714,41153432,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,19
3,98845842699833,98845892036022,49336189,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,19
0,98829463844483,98829484036251,20191768,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,2
1,98829618285175,98829649716605,31431430,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,2
2,98829862470443,98829903435506,40965063,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,2
3,98830110710576,98830154442056,43731480,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,2
0,98836883920196,98836904242517,20322321,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,10
1,98837038334315,98837069830002,31495687,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,10
2,98837282458497,98837323434662,40976165,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,10
3,98837530752286,98837580935680,50183394,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,10
0,98837807894347,98837828127979,20233632,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,11
1,98837962283473,98837993702503,31419030,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,11
2,98838206475823,98838247530745,41054922,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,11
3,98838454717786,98838504816822,50099036,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,11
0,98852583885163,98852604100263,20215100,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,27
1,98852738281990,98852769032792,30750802,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,27
2,98852982474989,98853023654064,41179075,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,27
3,98853230708292,98853280815288,50106996,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,27
0,98830379901853,98830400156667,20254814,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,3
1,98830534290189,98830565813599,31523410,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,3
2,98830778465887,98830819380155,40914268,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,3
3,98831026716041,98831075148090,48432049,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,3
0,98844271833126,98844291997661,20164535,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,18
1,98844426275277,98844457655433,31380156,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,18
2,98844670475417,98844711521198,41045781,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,18
3,98844918753365,98844968870442,50117077,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,18
0,98835047864703,98835067965021,20100318,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,8
1,98835202278942,98835232482859,30203917,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,8
2,98835446445358,98835487515362,41070004,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,8
3,98835690738407,98835740747294,50008887,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,8
0,98839655998835,98839676272841,20274006,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,13
1,98839810294362,98839841726202,31431840,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,r,4194304,3,13
