Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,98927875869107,98927896041563,20172456,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,19
1,98928030283526,98928078617115,48333589,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,19
2,98928290479094,98928372461176,81982082,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,19
3,98928591339975,98928706478630,115138655,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,19
0,98935324056389,98935344253588,20197199,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,26
1,98935478268628,98935531836440,53567812,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,26
2,98935742482257,98935829633975,87151718,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,26
3,98936035355771,98936150952131,115596360,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,26
0,98918295837447,98918316045797,20208350,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,10
1,98918450286850,98918500487766,50200916,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,10
2,98918714641293,98918808118073,93476780,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,10
3,98919027268870,98919142162360,114893490,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,10
0,98910879789757,98910900005537,20215780,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,3
1,98911034282293,98911081460147,47177854,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,3
2,98911294495633,98911376625999,82130366,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,3
3,98911587305630,98911682898241,95592611,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,3
0,98919372007745,98919392228636,20220891,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,11
1,98919526279600,98919573702098,47422498,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,11
2,98919786477038,98919877007234,90530196,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,11
3,98920083416977,98920203529599,120112622,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,11
0,98909829069772,98909849145348,20075576,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,2
1,98909982274720,98910029616930,47342210,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,2
2,98910242506791,98910324636277,82129486,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,2
3,98910535344051,98910650465023,115120972,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,2
0,98926811863945,98926832039381,20175436,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,18
1,98926966287055,98927018806222,52519167,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,18
2,98927230499624,98927313094157,82594533,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,18
3,98927531410010,98927646789368,115379358,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,18
0,98936383405637,98936403583273,20177636,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,27
1,98936538288832,98936585517401,47228569,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,27
2,98936798504472,98936883680173,85175701,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,27
3,98937099315488,98937214641401,115325913,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,27
0,98921499841333,98921520008968,20167635,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,13
1,98921654282604,98921708052306,53769702,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,13
2,98921918493343,98922009014808,90521465,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,13
3,98922227304069,98922327495789,100191720,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,13
0,98917231953777,98917252197110,20243333,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,9
1,98917386264245,98917439852710,53588465,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,9
2,98917650466144,98917731958746,81492602,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,9
3,98917943342847,98918064275310,120932463,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,9
0,98934251905363,98934272087570,20182207,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,25
1,98934406275927,98934453485194,47209267,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,25
2,98934666496688,98934752555547,86058859,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,25
3,98934971297213,98935092543387,121246174,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,25
0,98933187961097,98933208363205,20402108,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,24
1,98933342288777,98933394877271,52588494,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,24
2,98933606530009,98933698969135,92439126,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,24
3,98933903363498,98934020855937,117492439,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,24
0,98916171915811,98916192081746,20165935,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,8
1,98916326288396,98916376446617,50158221,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,8
2,98916586529138,98916678597597,92068459,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,8
3,98916883429364,98917000362137,116932773,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,8
0,98920439638500,98920459807585,20169085,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,12
1,98920594295703,98920647845234,53549531,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,12
2,98920858521034,98920945007115,86486081,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,12
3,98921155369734,98921270846952,115477218,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,12
0,98908755408054,98908775598072,20190018,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,1
1,98908910282709,98908951463854,41181145,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,1
2,98909162575618,98909252071210,89495592,20971520,20971520,0x00400000,0x00400000,c,w,4194304,3,c,w,4194304,3,1
