Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference
0,1225010411573,1226730134423,1719722850,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,3
1,1226930258029,1229576595744,2646337715,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,3
2,1229790472904,1233300164912,3509692008,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,3
3,1233506722381,1238519948789,5013226408,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,r,16777216,3
0,447208005802,454188017005,6980011203,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,3
1,454382243422,461523665463,7141422041,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,3
2,461734459935,471084261721,9349801786,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,3
3,471298715048,484643006173,13344291125,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,r,16777216,3
0,15261321858156,15290303591770,28981733614,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,3
1,15290678244784,15345094180632,54415935848,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,3
2,15345306486075,15451953126679,106646640604,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,3
3,15452183327310,15625225498100,173042170790,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,w,16777216,3
0,77609744339,77611038628,1294289,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,3
1,77806238752,77807620360,1381608,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,3
2,78018486939,78019923913,1436974,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,3
3,78238714884,78240212053,1497169,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,r,16777216,3
0,403541399008,403575286094,33887086,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,3
1,403770248994,403811545460,41296466,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,3
2,404022500368,404170273723,147773355,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,3
3,404399315488,406937321839,2538006351,131072000,0,0x00040000,0x01000000,c,l,262144,3,c,w,16777216,3
0,624762158427,624830853971,68695544,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,3
1,625026243184,625905794306,879551122,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,3
2,626118469356,627287942616,1169473260,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,3
3,627506743528,629176090605,1669347077,262144000,0,0x00080000,0x01000000,c,l,524288,3,c,r,16777216,3
0,303683277174,303699781283,16504109,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,3
1,303894257404,303912504447,18247043,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,3
2,304126469486,304145653083,19183597,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,3
3,304366741483,304386818489,20077006,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,r,16777216,3
0,1164568460882,1171546497018,6978036136,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,3
1,1171742246217,1185216724819,13474478602,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,3
2,1185430472346,1211893336381,26462864035,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,3
3,1212127277706,1253654780288,41527502582,2097152000,0,0x00400000,0x01000000,c,l,4194304,3,c,w,16777216,3
0,1482512499742,1484225024492,1712524750,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,3
1,1484418248879,1489430784617,5012535738,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,3
2,1489642472979,1499504393784,9861920805,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,3
3,1499727310407,1515100744568,15373434161,786432000,0,0x00180000,0x01000000,c,l,1572864,3,c,w,16777216,3
0,12337725463933,12366708547012,28983083079,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,3
1,12367082259952,12396391614801,29309354849,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,3
2,12396782475154,12434158313514,37375838360,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,3
3,12434546726333,12488063115891,53516389558,8388608000,0,0x01000000,0x01000000,c,l,16777216,3,c,r,16777216,3
0,239125719303,239127017583,1298280,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,3
1,239322309866,239323829648,1519782,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,3
2,239534479985,239536201407,1721422,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,3
3,239771363524,239773323610,1960086,16384000,0,0x00008000,0x01000000,c,l,32768,3,c,w,16777216,3
0,315247233912,315263754833,16520921,65536000,0,0x00020000,0x01000000,c,l,131072,3,c,w,16777216,3
