Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,3735721999161,3742700067401,6978068240,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,6
1,3742894273085,3750035747821,7141474736,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,6
2,3750246474506,3759459696396,9213221890,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,6
3,3759662727202,3772758695885,13095968683,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,6
0,5097965287800,5104944078291,6978790491,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,27
1,5105138264644,5112278450681,7140186037,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,27
2,5112490474046,5121703467203,9212993157,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,27
3,5121910712310,5135006263491,13095551181,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,27
0,4488889451986,4495869019675,6979567689,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,18
1,4496062273075,4503202471133,7140198058,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,18
2,4503414464815,4512627295515,9212830700,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,18
3,4512834720831,4525926904535,13092183704,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,18
0,4058812510762,4065792473470,6979962708,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,11
1,4065986278844,4073127541969,7141263125,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,11
2,4073338460364,4082549742829,9211282465,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,11
3,4082754748723,4095847457430,13092708707,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,11
0,4004016435841,4010994597099,6978161258,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,10
1,4011190256299,4018331196552,7140940253,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,10
2,4018542475362,4027754365689,9211890327,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,10
3,4027958727368,4041051257847,13092530479,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,10
0,5052213093209,5059190454257,6977361048,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,26
1,5059386274693,5066526424287,7140149594,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,26
2,5066738466763,5075950764370,9212297607,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,26
3,5076154729520,5089247150418,13092420898,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,26
0,3781427047512,3788405335803,6978288291,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,7
1,3788598241698,3795740137356,7141895658,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,7
2,3795950467732,3805162704412,9212236680,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,7
3,3805366721717,3818456714213,13089992496,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,7
0,4581923353184,4588901794800,6978441616,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,19
1,4589098254560,4596238310774,7140056214,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,19
2,4596450472073,4605661724585,9211252512,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,19
3,4605866734199,4618957917354,13091183155,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,19
0,4138806855133,4145784553895,6977698762,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,12
1,4145978248988,4153118774140,7140525152,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,12
2,4153330466771,4162542225795,9211759024,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,12
3,4162746727808,4175844270548,13097542740,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,12
0,3666835006136,3673813407868,6978401732,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,5
1,3674006252907,3681147269117,7141016210,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,5
2,3681358469600,3690571614391,9213144791,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,5
3,3690778742617,3703867794408,13089051791,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,5
0,4915895045331,4922876475086,6981429755,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,24
1,4923070250407,4930212030464,7141780057,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,24
2,4930422399823,4939634521533,9212121710,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,24
3,4939744937685,4952835967554,13091029869,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,24
0,5000256943196,5007235511655,6978568459,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,25
1,5007430252333,5014572194695,7141942362,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,25
2,5014782476566,5023994412577,9211936011,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,25
3,5024198730612,5037287823268,13089092656,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,25
0,3581981971578,3588959726006,6977754428,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,4
1,3589154262703,3596295045900,7140783197,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,4
2,3596506464025,3605719156941,9212692916,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,4
3,3605926710549,3619018778752,13092068203,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,4
0,4179958984098,4186939096662,6980112564,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,13
1,4187134249931,4194276023957,7141774026,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,13
2,4194486459083,4203699656440,9213197357,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,13
3,4203906713248,4216999819335,13093106087,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,13
0,4353536264945,4360515564327,6979299382,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,16
1,4360710259350,4367850841957,7140582607,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,16
2,4368062494445,4377275879440,9213384995,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,16
3,4377482732949,4390577622053,13094889104,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,16
0,5194916339208,5201894279824,6977940616,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,29
1,5202090274247,5209231112450,7140838203,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,29
2,5209442463778,5218654017710,9211553932,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,29
3,5218858699652,5231952746442,13094046790,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,29
0,3868390193556,3875369077477,6978883921,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,8
1,3875562260279,3882703875279,7141615000,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,8
2,3882914468201,3892127721744,9213253543,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,8
3,3892330713306,3905423653816,13092940510,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,8
0,2970061241691,2977040523041,6979281350,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,1
1,2977234272090,2984374414593,7140142503,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,1
2,2984586472421,2993798836325,9212363904,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,1
3,2994002742648,3007095597260,13092854612,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,1
0,5239412381778,5246389939606,6977557828,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,30
1,5246586271173,5253726089014,7139817841,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,30
2,5253938472464,5263151071211,9212598747,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,30
3,5263354733421,5276446250239,13091516818,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,30
0,4646924415938,4653904937632,6980521694,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,20
1,4654098271129,4661238812792,7140541663,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,20
2,4661450463260,4670662453226,9211989966,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,20
3,4670866777182,4683958400030,13091622848,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,20
0,4726299528527,4733278928999,6979400472,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,21
1,4733380498478,4740521312618,7140814140,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,21
2,4740734465586,4749946509247,9212043661,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,21
3,4750150700990,4763240698725,13089997735,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,21
0,4417671246953,4424648508371,6977261418,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,17
1,4424842241608,4431983085091,7140843483,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,17
2,4432194469262,4441405946297,9211477035,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,r,4194304,3,17
