Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,8113251177461,8120231107226,6979929765,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,18
1,8120426287018,8134884529445,14458242427,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,18
2,8135098462361,8165511265513,30412803152,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,18
3,8165719374566,8210994617512,45275242946,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,18
0,9154265598150,9161244737546,6979139396,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,27
1,9161438254531,9175919439881,14481185350,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,27
2,9176130487138,9206544303912,30413816774,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,27
3,9206763332006,9251751966795,44988634789,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,27
0,6485526309796,6492505374114,6979064318,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,7
1,6492698244235,6507206426912,14508182677,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,7
2,6507418506633,6537412512320,29994005687,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,7
3,6537619260458,6582781526265,45162265807,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,7
0,7303280543291,7310260371526,6979828235,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,11
1,7310466238656,7324980363166,14514124510,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,11
2,7325190456968,7355429934372,30239477404,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,11
3,7355639375799,7400770817286,45131441487,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,11
0,7090103263254,7097082850494,6979587240,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,10
1,7097278252928,7111803836264,14525583336,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,10
2,7112014493852,7142385136162,30370642310,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,10
3,7142595327874,7187849112465,45253784591,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,10
0,6062594285811,6069573665021,6979379210,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,6
1,6069782229190,6084245162386,14462933196,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,6
2,6084458482160,6114710627810,30252145650,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,6
3,6114927352495,6160455148315,45527795820,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,6
0,8238338761022,8245318287437,6979526415,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,19
1,8245514234016,8260030014352,14515780336,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,19
2,8260242481031,8290606491418,30364010387,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,19
3,8290811345156,8336096880480,45285535324,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,19
0,9049204931402,9056182547706,6977616304,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,26
1,9056378239309,9070895766029,14517526720,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,26
2,9071106515667,9101720208591,30613692924,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,26
3,9101931378421,9147023252495,45091874074,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,26
0,5841593240015,5848571379101,6978139086,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,4
1,5848766253772,5863384256332,14618002560,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,4
2,5863594478417,5893676718640,30082240223,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,4
3,5894087317036,5939507666560,45420349524,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,4
0,7421187907715,7428166952652,6979044937,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,12
1,7428362236024,7442949585151,14587349127,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,12
2,7443162511106,7473719279693,30556768587,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,12
3,7473931321709,7518847975856,44916654147,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,12
0,8826627990966,8833605308301,6977317335,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,24
1,8833798230077,8848335780048,14537549971,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,24
2,8848546478990,8878701128279,30154649289,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,24
3,8878919342582,8924010790873,45091448291,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,24
0,8936856720563,8943834826386,6978105823,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,25
1,8944030246481,8958579278590,14549032109,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,25
2,8958790485023,8988994690963,30204205940,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,25
3,8989199306648,9034256855692,45057549044,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,25
0,7525204660698,7532184105145,6979444447,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,13
1,7532378246403,7546835936435,14457690032,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,13
2,7547046493393,7577384409503,30337916110,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,13
3,7577591269171,7622932419002,45341149831,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,13
0,5957931945483,5964912231523,6980286040,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,5
1,5965106238218,5979609309794,14503071576,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,5
2,5979822582144,6010246165443,30423583299,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,5
3,6010647327976,6056093789240,45446461264,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,5
0,9430592979729,9437570925735,6977946006,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,29
1,9437766235240,9452253245292,14487010052,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,29
2,9452466486358,9482975730987,30509244629,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,29
3,9483195344970,9528352132430,45156787460,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,29
0,7896814362540,7903793070423,6978707883,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,16
1,7903986247145,7918588474138,14602226993,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,16
2,7918790532427,7949156678828,30366146401,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,16
3,7949367350737,7994323962506,44956611769,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,16
0,8377863460200,8384842390055,6978929855,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,20
1,8385038240534,8399532836393,14494595859,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,20
2,8399734499113,8429912762471,30178263358,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,20
3,8430131347261,8475614166947,45482819686,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,20
0,9546292456797,9553271080011,6978623214,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,30
1,9553466234220,9567930225922,14463991702,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,30
2,9568142493021,9598674407305,30531914284,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,30
3,9598883325629,9644166519809,45283194180,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,30
0,6864255168364,6871233481647,6978313283,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,9
1,6871426240997,6885959955325,14533714328,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,9
2,6886162493902,6916416697808,30254203906,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,9
3,6916635271317,6961997332057,45362060740,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,9
0,8515666604315,8522645011028,6978406713,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,21
1,8522838250315,8537290890153,14452639838,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,21
2,8537502485025,8567657734303,30155249278,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,21
3,8567863372900,8613234116277,45370743377,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,21
0,6742007721921,6748985913792,6978191871,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,8
1,6749182250210,6763764158033,14581907823,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,8
2,6763974473437,6794307821941,30333348504,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,8
3,6794527405981,6839822021212,45294615231,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,8
0,9297380720932,9304360376610,6979655678,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,28
1,9304554264623,9319027930411,14473665788,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,28
2,9319238505251,9349387650189,30149144938,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,28
3,9349607331679,9394674985693,45067654014,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,28
0,5315662781535,5322643558864,6980777329,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,1
1,5322838247237,5337476523443,14638276206,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,1
2,5337690481321,5367766108433,30075627112,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,1
3,5368167298859,5413052082541,44884783682,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,1
0,8002524158167,8009501517665,6977359498,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,17
1,8009694254023,8024199286315,14505032292,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,17
2,8024410462505,8054841434323,30430971818,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,17
3,8055059297801,8100614035583,45554737782,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,17
0,8724226812597,8731204992687,6978180090,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,23
1,8731398242476,8745864875852,14466633376,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,23
2,8746078496886,8776357491469,30278994583,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,23
3,8776567352978,8821480216315,44912863337,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,23
0,7788135315664,7795113692173,6978376509,2097152000,0,0x00400000,0x00400000,c,l,4194304,3,c,w,4194304,3,15
