Active Cores,Bandwidth (MB/s),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
2,3940.110352,c,w,262144,2,c,r,262144,2,12
2,3920.584473,c,w,262144,2,c,r,262144,2,24
2,3872.006836,c,w,262144,2,c,r,262144,2,6
2,3919.232666,c,w,262144,2,c,r,262144,2,25
2,3859.692383,c,w,262144,2,c,r,262144,2,7
2,3928.347168,c,w,262144,2,c,r,262144,2,13
2,3982.540283,c,w,262144,2,c,r,262144,2,27
2,3838.830566,c,w,262144,2,c,r,262144,2,5
2,3904.176025,c,w,262144,2,c,r,262144,2,18
2,3899.547363,c,w,262144,2,c,r,262144,2,11
2,3893.110596,c,w,262144,2,c,r,262144,2,10
2,3847.811523,c,w,262144,2,c,r,262144,2,26
2,3793.396484,c,w,262144,2,c,r,262144,2,4
2,3807.725098,c,w,262144,2,c,r,262144,2,19
2,3822.746826,c,w,262144,2,c,r,262144,2,1
2,3861.361572,c,w,262144,2,c,r,262144,2,23
2,3899.182617,c,w,262144,2,c,r,262144,2,15
2,3871.047852,c,w,262144,2,c,r,262144,2,8
2,3958.702881,c,w,262144,2,c,r,262144,2,14
2,3889.718506,c,w,262144,2,c,r,262144,2,9
2,3894.444824,c,w,262144,2,c,r,262144,2,22
2,3859.453857,c,w,262144,2,c,r,262144,2,16
2,3905.883789,c,w,262144,2,c,r,262144,2,29
2,3845.325684,c,w,262144,2,c,r,262144,2,2
2,3944.337646,c,w,262144,2,c,r,262144,2,30
2,3804.480225,c,w,262144,2,c,r,262144,2,20
2,3818.893066,c,w,262144,2,c,r,262144,2,3
2,3960.584473,c,w,262144,2,c,r,262144,2,21
2,3867.095459,c,w,262144,2,c,r,262144,2,17
2,3940.482666,c,w,262144,2,c,r,262144,2,28
2,3801.703125,c,w,262144,2,c,w,262144,2,5
2,3836.121094,c,w,262144,2,c,w,262144,2,25
2,3823.331299,c,w,262144,2,c,w,262144,2,13
2,3818.309326,c,w,262144,2,c,w,262144,2,12
2,3765.060303,c,w,262144,2,c,w,262144,2,4
2,3860.884766,c,w,262144,2,c,w,262144,2,24
2,3787.878906,c,w,262144,2,c,w,262144,2,10
2,3857.905762,c,w,262144,2,c,w,262144,2,26
2,3774.382812,c,w,262144,2,c,w,262144,2,6
2,3865.6604,c,w,262144,2,c,w,262144,2,19
2,3818.893066,c,w,262144,2,c,w,262144,2,27
2,3724.117432,c,w,262144,2,c,w,262144,2,7
2,3827.897705,c,w,262144,2,c,w,262144,2,18
2,3801.47168,c,w,262144,2,c,w,262144,2,11
2,3770.966797,c,w,262144,2,c,w,262144,2,14
2,3810.27832,c,w,262144,2,c,w,262144,2,2
2,3822.39624,c,w,262144,2,c,w,262144,2,22
2,3809.117432,c,w,262144,2,c,w,262144,2,3
2,3811.091553,c,w,262144,2,c,w,262144,2,23
2,3860.050293,c,w,262144,2,c,w,262144,2,15
2,3775.750732,c,w,262144,2,c,w,262144,2,21
2,3843.19751,c,w,262144,2,c,w,262144,2,1
2,3865.6604,c,w,262144,2,c,w,262144,2,17
2,3844.615967,c,w,262144,2,c,w,262144,2,28
2,3786.960449,c,w,262144,2,c,w,262144,2,8
2,3835.179199,c,w,262144,2,c,w,262144,2,16
2,3805.522705,c,w,262144,2,c,w,262144,2,29
2,3786.616455,c,w,262144,2,c,w,262144,2,9
2,3849.233154,c,w,262144,2,c,w,262144,2,20
2,3856.239502,c,w,262144,2,c,w,262144,2,30
2,3792.821045,c,r,262144,2,c,w,262144,2,23
2,3799.507568,c,r,262144,2,c,w,262144,2,5
2,3806.102051,c,r,262144,2,c,w,262144,2,15
2,3831.06543,c,r,262144,2,c,w,262144,2,4
2,3698.553223,c,r,262144,2,c,w,262144,2,14
2,3823.682617,c,r,262144,2,c,w,262144,2,22
2,3750.487793,c,r,262144,2,c,w,262144,2,29
2,3795.930664,c,r,262144,2,c,w,262144,2,6
2,3801.125,c,r,262144,2,c,w,262144,2,16
2,3793.626709,c,r,262144,2,c,w,262144,2,30
2,3817.609863,c,r,262144,2,c,w,262144,2,20
2,3804.01709,c,r,262144,2,c,w,262144,2,21
2,3809.117432,c,r,262144,2,c,w,262144,2,28
2,3810.975586,c,r,262144,2,c,w,262144,2,7
2,3808.885254,c,r,262144,2,c,w,262144,2,17
2,3817.959717,c,r,262144,2,c,w,262144,2,12
2,3802.859863,c,r,262144,2,c,w,262144,2,2
2,3826.842773,c,r,262144,2,c,w,262144,2,24
2,3737.702881,c,r,262144,2,c,w,262144,2,25
2,3815.628662,c,r,262144,2,c,w,262144,2,13
2,3808.769531,c,r,262144,2,c,w,262144,2,3
2,3817.493164,c,r,262144,2,c,w,262144,2,18
2,3809.582031,c,r,262144,2,c,w,262144,2,27
2,3809.465576,c,r,262144,2,c,w,262144,2,8
2,3768.920166,c,r,262144,2,c,w,262144,2,11
2,3815.628662,c,r,262144,2,c,w,262144,2,1
2,3833.180176,c,r,262144,2,c,w,262144,2,10
2,3832.004639,c,r,262144,2,c,w,262144,2,19
2,3805.870117,c,r,262144,2,c,w,262144,2,26
2,3817.843262,c,r,262144,2,c,w,262144,2,9
2,3853.861572,c,r,262144,2,c,r,262144,2,6
2,3891.292969,c,r,262144,2,c,r,262144,2,14
2,3876.449707,c,r,262144,2,c,r,262144,2,22
2,3873.806885,c,r,262144,2,c,r,262144,2,23
2,3896.509033,c,r,262144,2,c,r,262144,2,7
2,3863.509766,c,r,262144,2,c,r,262144,2,15
2,3865.899658,c,r,262144,2,c,r,262144,2,21
2,3904.785645,c,r,262144,2,c,r,262144,2,28
2,3886.453125,c,r,262144,2,c,r,262144,2,17
2,3885.849121,c,r,262144,2,c,r,262144,2,5
2,3876.209229,c,r,262144,2,c,r,262144,2,29
2,3842.961182,c,r,262144,2,c,r,262144,2,16
2,3840.127686,c,r,262144,2,c,r,262144,2,4
2,3847.455811,c,r,262144,2,c,r,262144,2,20
2,3843.67041,c,r,262144,2,c,r,262144,2,30
2,3886.694824,c,r,262144,2,c,r,262144,2,8
2,3813.300781,c,r,262144,2,c,r,262144,2,25
2,3885.366455,c,r,262144,2,c,r,262144,2,13
2,3896.994385,c,r,262144,2,c,r,262144,2,1
2,3901.008057,c,r,262144,2,c,r,262144,2,12
2,3911.628662,c,r,262144,2,c,r,262144,2,9
2,3832.827148,c,r,262144,2,c,r,262144,2,24
2,3834.943848,c,r,262144,2,c,r,262144,2,2
2,3919.723877,c,r,262144,2,c,r,262144,2,10
2,3863.390625,c,r,262144,2,c,r,262144,2,19
2,3829.1875,c,r,262144,2,c,r,262144,2,26
2,3863.629395,c,r,262144,2,c,r,262144,2,18
2,3790.980713,c,r,262144,2,c,r,262144,2,27
2,3843.67041,c,r,262144,2,c,r,262144,2,3
2,3889.476562,c,r,262144,2,c,r,262144,2,11
3,2671.568115,c,w,262144,2,c,r,262144,2,12
3,2771.618652,c,w,262144,2,c,r,262144,2,24
3,2752.818848,c,w,262144,2,c,r,262144,2,6
3,2625.553955,c,w,262144,2,c,r,262144,2,25
3,2770.45166,c,w,262144,2,c,r,262144,2,7
3,2702.81958,c,w,262144,2,c,r,262144,2,13
3,2738.225586,c,w,262144,2,c,r,262144,2,27
3,2758.468506,c,w,262144,2,c,r,262144,2,5
3,2846.991211,c,w,262144,2,c,r,262144,2,18
3,2768.549316,c,w,262144,2,c,r,262144,2,11
3,2643.768066,c,w,262144,2,c,r,262144,2,10
3,2693.791504,c,w,262144,2,c,r,262144,2,26
3,2805.584229,c,w,262144,2,c,r,262144,2,4
3,2734.631348,c,w,262144,2,c,r,262144,2,19
3,2814.30127,c,w,262144,2,c,r,262144,2,1
3,2667.463379,c,w,262144,2,c,r,262144,2,23
3,2631.579102,c,w,262144,2,c,r,262144,2,15
3,2835.045654,c,w,262144,2,c,r,262144,2,8
3,2685.227051,c,w,262144,2,c,r,262144,2,14
3,2759.564697,c,w,262144,2,c,r,262144,2,9
3,2676.77417,c,w,262144,2,c,r,262144,2,22
3,2600.266357,c,w,262144,2,c,r,262144,2,16
3,2635.740479,c,w,262144,2,c,r,262144,2,29
3,2762.064697,c,w,262144,2,c,r,262144,2,2
3,2801.246094,c,w,262144,2,c,r,262144,2,30
3,2607.099609,c,w,262144,2,c,r,262144,2,20
3,2798.737061,c,w,262144,2,c,r,262144,2,3
3,2754.153076,c,w,262144,2,c,r,262144,2,21
3,2707.327148,c,w,262144,2,c,r,262144,2,17
3,2638.243896,c,w,262144,2,c,r,262144,2,28
3,2375.387207,c,w,262144,2,c,w,262144,2,5
3,2493.268066,c,w,262144,2,c,w,262144,2,25
3,2424.548096,c,w,262144,2,c,w,262144,2,13
3,2476.767822,c,w,262144,2,c,w,262144,2,12
3,2276.659668,c,w,262144,2,c,w,262144,2,4
3,2646.791016,c,w,262144,2,c,w,262144,2,24
3,2505.210693,c,w,262144,2,c,w,262144,2,10
3,2394.911377,c,w,262144,2,c,w,262144,2,26
3,2579.713135,c,w,262144,2,c,w,262144,2,6
3,2382.631592,c,w,262144,2,c,w,262144,2,19
3,2546.291504,c,w,262144,2,c,w,262144,2,27
3,2657.482422,c,w,262144,2,c,w,262144,2,7
3,2302.153076,c,w,262144,2,c,w,262144,2,18
3,2593.791504,c,w,262144,2,c,w,262144,2,11
3,2429.49585,c,w,262144,2,c,w,262144,2,14
3,2202.17749,c,w,262144,2,c,w,262144,2,2
3,2438.73877,c,w,262144,2,c,w,262144,2,22
3,2125.994873,c,w,262144,2,c,w,262144,2,3
3,2516.558838,c,w,262144,2,c,w,262144,2,23
3,2484.397949,c,w,262144,2,c,w,262144,2,15
3,2477.602295,c,w,262144,2,c,w,262144,2,21
3,2317.217773,c,w,262144,2,c,w,262144,2,1
3,2404.956299,c,w,262144,2,c,w,262144,2,17
3,2476.669678,c,w,262144,2,c,w,262144,2,28
3,2591.049316,c,w,262144,2,c,w,262144,2,8
3,2353.428467,c,w,262144,2,c,w,262144,2,16
3,2298.850586,c,w,262144,2,c,w,262144,2,29
3,2518.536377,c,w,262144,2,c,w,262144,2,9
3,2284.147949,c,w,262144,2,c,w,262144,2,20
3,2641.421631,c,w,262144,2,c,w,262144,2,30
3,2555.871338,c,r,262144,2,c,w,262144,2,23
3,2428.315918,c,r,262144,2,c,w,262144,2,5
3,2695.010986,c,r,262144,2,c,w,262144,2,15
3,2478.68335,c,r,262144,2,c,w,262144,2,4
3,2692.224854,c,r,262144,2,c,w,262144,2,14
3,2614.187744,c,r,262144,2,c,w,262144,2,22
3,2606.066895,c,r,262144,2,c,w,262144,2,29
3,2429.637695,c,r,262144,2,c,w,262144,2,6
3,2522.246094,c,r,262144,2,c,w,262144,2,16
3,2605.903809,c,r,262144,2,c,w,262144,2,30
3,2579.766357,c,r,262144,2,c,w,262144,2,20
3,2605.632324,c,r,262144,2,c,w,262144,2,21
3,2681.5979,c,r,262144,2,c,w,262144,2,28
3,2485.435303,c,r,262144,2,c,w,262144,2,7
3,2526.630859,c,r,262144,2,c,w,262144,2,17
3,2638.466797,c,r,262144,2,c,w,262144,2,12
3,2548.575928,c,r,262144,2,c,w,262144,2,2
3,2629.530762,c,r,262144,2,c,w,262144,2,24
3,2630.028809,c,r,262144,2,c,w,262144,2,25
3,2627.099121,c,r,262144,2,c,w,262144,2,13
3,2544.529297,c,r,262144,2,c,w,262144,2,3
3,2593.737549,c,r,262144,2,c,w,262144,2,18
3,2688.345459,c,r,262144,2,c,w,262144,2,27
3,2530.723145,c,r,262144,2,c,w,262144,2,8
3,2578.063721,c,r,262144,2,c,w,262144,2,11
3,2616.212158,c,r,262144,2,c,w,262144,2,1
