Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,159621643138,159625028866,3385728,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,13
1,159820671784,159824255283,3583499,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,13
2,160036834903,160040430192,3595289,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,13
3,160245062678,160248746516,3683838,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,13
0,115709570967,115718089818,8518851,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,8
1,115916664229,115925694311,9030082,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,8
2,116128842659,116137901984,9059325,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,8
3,116345013668,116354282174,9268506,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,8
0,711025155534,711047109288,21953754,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,1
1,711244725783,711268015630,23289847,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,1
2,711480836635,711504197199,23360564,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,1
3,711709014043,711732788369,23774326,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,1
0,101881140967,101898031715,16890748,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,25
1,102096674263,102114590613,17916350,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,25
2,102328835260,102346809036,17973776,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,25
3,102553018830,102571425009,18406179,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,25
0,96197246469,96211639427,14392958,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,24
1,96348663968,96363928813,15264845,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,24
2,96576840667,96592155477,15314810,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,24
3,96797016976,96812705244,15688268,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,24
0,150957839405,150964805501,6966096,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,12
1,151112667965,151120049113,7381148,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,12
2,151332841564,151340247314,7405750,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,12
3,151545019404,151552599492,7580088,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,12
0,121661581725,121678877513,17295788,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,9
1,121876739833,121895085956,18346123,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,9
2,122108840514,122127247943,18407429,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,9
3,122333015363,122351914521,18899158,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,9
0,261641392736,261671581912,30189176,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,19
1,261868669615,261900702656,32033041,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,19
2,262116838111,262148960341,32122230,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,19
3,262353010059,262385788984,32778925,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,19
0,111797914134,111813117663,15203529,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,26
1,112008661931,112024786652,16124721,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,26
2,112240840680,112257017486,16176806,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,26
3,112461013499,112477586045,16572546,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,s,32768,1,26
