Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,102777439814,102796895708,19455894,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,7
1,102992678120,103015009432,22331312,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,7
2,103228858089,103251315683,22457594,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,7
3,103457030647,103480622074,23591427,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,7
0,243357272608,243383951314,26678706,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,18
1,243580679700,243611270147,30590447,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,18
2,243824870359,243855645794,30775435,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,18
3,244061021995,244093364716,32342721,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,18
0,119373585054,119403099503,29514449,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,27
1,119600665463,119634501184,33835721,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,27
2,119848865572,119882938247,34072675,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,27
3,120089027729,120124790462,35762733,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,27
0,139481483880,139515385697,33901817,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,11
1,139712687651,139751546714,38859063,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,11
2,139964848486,140004124640,39276154,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,11
3,140209028344,140250125290,41096946,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,11
0,131113500954,131129378901,15877947,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,10
1,131324676694,131342900475,18223781,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,10
2,131556871885,131575220148,18348263,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,10
3,131781024581,131800274355,19249774,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,10
0,262605271904,262608455022,3183118,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,19
1,262804686549,262808336384,3649835,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,19
2,263020872210,263024564389,3692179,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,19
3,263229079283,263232940249,3860966,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,19
0,96857487479,96885651653,28164174,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,6
1,97084670239,97117010500,32340261,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,6
2,97332854087,97365414020,32559933,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,6
3,97569032215,97603167065,34134850,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,6
0,112693550613,112696936631,3386018,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,26
1,112844685254,112848563152,3877898,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,26
2,113064854263,113068773644,3919381,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,26
3,113273079278,113277183098,4103820,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,26
0,151768947129,151798461328,29514199,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,12
1,151996765462,152030620894,33855432,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,x,32768,1,12
