Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,179028398497,179061827877,33429380,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,14
1,179260688317,179303296864,42608547,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,14
2,179505023520,179566599222,61575702,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,14
3,179774047190,179845579767,71532577,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,14
0,94978390705,95004867341,26476636,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,6
1,95200681836,95234482403,33800567,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,6
2,95436992107,95485767371,48775264,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,6
3,95693698297,95750079700,56381403,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,6
0,292950484943,292960354229,9869286,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,22
1,293156661874,293169179944,12518070,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,22
2,293369031183,293387163545,18132362,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,22
3,293594026384,293615025462,20999078,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,22
0,100960515332,100971397360,10882028,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,7
1,101168680822,101182526695,13845873,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,7
2,101385022988,101405038308,20015320,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,7
3,101625930549,101649088983,23158434,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,7
0,302261418255,302269396313,7978058,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,23
1,302464681845,302474829129,10147284,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,23
2,302676996829,302691672045,14675216,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,23
3,302897606642,302914633203,17026561,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,23
0,205659667209,205677840144,18172935,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,15
1,205876817536,205899878170,23060634,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,15
2,206101022168,206134461989,33439821,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,15
3,206341884394,206380584381,38699987,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,15
0,166242055680,166242401014,345334,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,5
1,166440689927,166441120910,430983,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,5
2,166657023482,166657646015,622533,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,5
3,166865823885,166866543067,719182,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,5
0,278953574391,278971274979,17700588,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,21
1,279104693850,279127266436,22572586,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,21
2,279329005993,279361608050,32602057,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,21
3,279569972230,279607761295,37789065,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,21
0,230629574512,230638700444,9125932,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,17
1,230836689646,230848318828,11629182,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,17
2,231061003849,231077806558,16802709,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,17
3,231285718922,231305125241,19406319,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,17
0,131184042861,131196950901,12908040,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,28
1,131392670497,131409041023,16370526,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,28
2,131608980040,131632674557,23694517,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,28
3,131837659379,131865065947,27406568,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,28
0,216119768873,216136052170,16283297,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,16
1,216332699248,216353363713,20664465,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,16
2,216552993029,216582971855,29978826,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,16
3,216789713002,216824364244,34651242,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,16
0,136797699762,136819923373,22223611,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,29
1,137016666321,137044864758,28198437,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,29
2,137260988603,137301878908,40890305,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,29
3,137521619944,137568789147,47169203,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,29
0,158856964372,158860012737,3048365,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,4
1,159056677127,159060556865,3879738,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,4
2,159261085151,159266680130,5594979,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,4
3,159473645249,159480108735,6463486,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,4
0,269964867404,269992626578,27759174,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,20
1,270188684978,270224121528,35436550,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,20
2,270425018231,270476094985,51076754,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,20
3,270682045953,270741178251,59132298,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,20
0,143969479236,143996698136,27218900,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,30
1,144192707041,144227275025,34567984,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,30
2,144429009841,144479019488,50009647,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,30
3,144686083628,144745624077,59540449,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,30
0,100941897661,100961353765,19456104,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,25
1,101156686472,101181390040,24703568,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,25
2,101381002135,101416809543,35807408,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,25
3,101621665631,101663121824,41456193,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,25
0,710006752108,710037751455,30999347,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,1
1,710236680602,710276054166,39373564,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,1
2,710477047429,710534089058,57041629,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,1
3,710741559788,710807436860,65877072,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,1
0,158631871183,158658955179,27083996,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,13
1,158856664554,158891072151,34407597,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,13
2,159093033241,159142939647,49906406,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,13
3,159350091515,159407917133,57825618,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,13
0,114715222374,114743319011,28096637,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,8
1,114940686682,114976478038,35791356,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,8
2,115176989273,115228710490,51721217,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,8
3,115433651398,115493510799,59859401,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,8
0,120694775244,120717741849,22966605,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,9
1,120916691678,120945841540,29149862,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,9
2,121149001969,121191330139,42328170,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,9
3,121397718140,121446856720,49138580,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,9
0,149943464722,149971831036,28366314,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,12
1,150168663653,150204664920,36001267,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,12
2,150420981014,150473952726,52971712,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,12
3,150681684092,150743605529,61921437,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,12
0,95153590689,95184995257,31404568,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,24
1,95380665478,95420636872,39971394,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,24
2,95636983919,95694777743,57793824,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,24
3,95913632241,95980480850,66848609,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,24
0,129200280451,129221761627,21481176,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,10
1,129420685933,129447950497,27264564,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,10
2,129649023228,129688556498,39533270,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,10
3,129893957331,129939770578,45813247,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,10
0,110769854663,110802879763,33025100,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,26
1,111000677716,111042713076,42035360,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,26
2,111244983826,111305801593,60817767,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,26
3,111513487034,111583914131,70427097,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,26
0,260707460620,260725835966,18375346,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,19
1,260924727019,260948157680,23430661,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,19
2,261149040692,261182874162,33833470,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,19
3,261389853753,261428996054,39142301,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,19
0,712817060016,712817337874,277858,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,2
1,712968673075,712969026740,353665,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,2
2,713168992380,713169500391,508011,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,2
3,713373824307,713374416036,591729,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,2
0,117601480080,117604663418,3183338,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,27
1,117800698595,117804723437,4024842,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,27
2,118005051593,118010889477,5837884,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,27
3,118217627944,118224359766,6731822,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,27
0,715461243446,715487247464,26004018,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,3
1,715612673386,715645669443,32996057,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,3
2,715861007729,715908757820,47750091,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,3
3,716113845362,716170648317,56802955,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,3
0,241451850823,241482377594,30526771,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,18
1,241680673157,241719568403,38895246,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,18
2,241920996839,241977193374,56196535,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,18
3,242181763404,242247119735,65356331,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,18
0,137619706226,137643077391,23371165,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,11
1,137840696637,137870509946,29813309,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,11
2,138085037301,138128032837,42995536,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,11
3,138345968372,138395741345,49772973,16384000,0,0x00008000,0x00008000,c,m,32768,1,c,y,32768,1,11
