Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,525664994236,525701478152,36483916,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,14
1,525896666435,525933150650,36484215,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,14
2,526148837931,526185923476,37085545,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,14
3,526393013338,526430303404,37290066,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,14
0,83701300110,83737783815,36483705,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,22
1,83936662366,83973150042,36487676,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,22
2,84172834594,84209820670,36986076,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,22
3,84417018602,84454318629,37300027,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,22
0,471177021341,471213505096,36483755,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,6
1,471408659015,471445144111,36485096,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,6
2,471660838762,471698024208,37185446,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,6
3,471905014400,471942300835,37286435,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,6
0,89569201164,89605684769,36483605,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,23
1,89804659530,89841145406,36485876,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,23
2,90056839317,90094019772,37180455,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,23
3,90301023546,90338309761,37286215,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,23
0,476712949565,476749433170,36483605,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,7
1,476944665187,476981151203,36486016,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,7
2,477196836174,477233806878,36970704,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,7
3,477441020732,477478245951,37225219,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,7
0,532981003482,533017487107,36483625,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,15
1,533212667069,533249151484,36484415,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,s,32768,1,15
