Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,66793027672,66829511088,36483416,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,20
1,67024668517,67066905307,42236790,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,20
2,67280840393,67324951281,44110888,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,20
3,67529038373,67572856981,43818608,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,20
0,132200959420,132237442735,36483315,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,30
1,132432660081,132474905442,42245361,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,30
2,132688841258,132732682558,43841300,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,30
3,132937030616,132980866926,43836310,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,30
0,125581190201,125617673486,36483285,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,29
1,125816676190,125859083918,42407728,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,29
2,126072871429,126117166304,44294875,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,29
3,126321019813,126364810758,43790945,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,29
0,489848906673,489885390379,36483706,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,9
1,490080669360,490122755725,42086365,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,9
2,490336854728,490380816560,43961832,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,9
3,490585022784,490628860884,43838100,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,9
0,539760821632,539797305067,36483435,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,16
1,539992679739,540034947592,42267853,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,16
2,540248859515,540293101366,44241851,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,16
3,540497013540,540540838309,43824769,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,16
0,119537206933,119573689839,36482906,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,28
1,119772700383,119814818441,42118058,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,28
2,120028861028,120072401108,43540080,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,28
3,120277026714,120320820840,43794126,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,28
0,483964893899,484001377724,36483825,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,8
1,484196663807,484238923989,42260182,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,8
2,484452868526,484497046890,44178364,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,8
3,484701025141,484744844740,43819599,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,8
0,549229000466,549265484401,36483935,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,17
1,549460684855,549503103644,42418789,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,17
2,549716845050,549760810043,43964993,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,17
3,549965019347,550008853937,43834590,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,17
0,429812809204,429849292790,36483586,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,1
1,430044666851,430087113792,42446941,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,1
2,430300839137,430344881527,44042390,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,1
3,430549027935,430592825051,43797116,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,1
0,72933109322,72969592968,36483646,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,21
1,73164663398,73206924701,42261303,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,21
2,73420885229,73465118149,44232920,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,21
3,73669024803,73712806087,43781284,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,x,32768,1,21
