Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,481952207857,481988691643,36483786,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,8
1,482184666674,482229387952,44721278,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,8
2,482445006136,482508484049,63477913,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,8
3,482713676831,482787160473,73483642,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,8
0,518017167397,518053650882,36483485,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,13
1,518252688810,518298112288,45423478,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,13
2,518501005331,518564368002,63362671,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,13
3,518769652663,518842484050,72831387,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,13
0,427800905150,427837388926,36483776,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,1
1,428032687910,428077595337,44907427,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,1
2,428276992260,428340410916,63418656,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,1
3,428545660654,428619243897,73583243,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,1
0,99868243425,99904727421,36483996,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,25
1,100100683180,100146313569,45630389,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,25
2,100360988769,100424622177,63633408,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,25
3,100629477756,100701880090,72402334,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,25
0,94628782433,94665266018,36483585,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,24
1,94780683161,94825307959,44624798,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,24
2,95041024143,95104387054,63362911,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,24
3,95309658124,95382863609,73205485,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,24
0,487842341323,487878825008,36483685,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,9
1,488076684128,488121478523,44794395,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,9
2,488321056055,488384590723,63534668,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,9
3,488589937921,488662566737,72628816,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,9
0,511597118214,511633601649,36483435,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,12
1,511828690522,511873527922,44837400,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,12
2,512072999762,512136651472,63651710,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,12
3,512341668947,512414150999,72482052,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,12
0,105800244144,105836727770,36483626,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,26
1,106032670488,106077311898,44641410,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,26
2,106276979738,106340343800,63364062,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,26
3,106561880815,106635100581,73219766,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,26
0,433328117534,433364601299,36483765,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,2
1,433560673860,433605418621,44744761,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,2
2,433821074179,433884505617,63431438,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,2
3,434089956785,434163532426,73575641,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,2
0,56189903298,56226386573,36483275,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,19
1,56424687457,56470128497,45441040,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,19
2,56684976684,56745506682,60529998,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,19
3,56949439879,57019456595,70016716,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,19
0,494832991939,494869475604,36483665,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,10
1,495064679659,495109425290,44745631,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,10
2,495325000839,495388561500,63560661,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,10
3,495593704267,495667204721,73500454,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,10
0,505005084526,505041568181,36483655,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,11
1,505236668815,505281649140,44980325,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,11
2,505485046763,505548546597,63499834,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,11
3,505754107946,505827597139,73489193,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,11
0,111657277773,111693760918,36483145,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,27
1,111892703916,111938149167,45445251,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,27
2,112140995254,112204320972,63325718,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,27
3,112409625455,112481930350,72304895,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,27
0,451000115351,451036598806,36483455,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,3
1,451232667587,451277259682,44592095,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,3
2,451493009019,451556390642,63381623,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,3
3,451761707297,451834401390,72694093,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,3
0,50489820292,50526303847,36483555,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,18
1,50724699540,50770007367,45307827,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,18
2,50973075317,51036604135,63528818,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,18
3,51241985526,51315543565,73558039,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,18
0,82664265842,82700749117,36483275,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,22
1,82900681604,82945454548,44772944,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,22
2,83144995995,83208368957,63372962,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,22
3,83413564490,83485870485,72305995,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,22
0,470144075362,470180558997,36483635,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,6
1,470376662741,470421389790,44727049,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,6
2,470621044429,470684737303,63692874,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,6
3,470889990801,470962866333,72875532,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,6
0,524616318446,524652802221,36483775,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,14
1,524848662761,524894061497,45398736,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,14
2,525109012364,525172417720,63405356,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,14
3,525377917503,525450845509,72928006,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,14
0,531932301838,531968785614,36483776,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,15
1,532164663385,532209962841,45299456,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,15
2,532424996737,532488431945,63435208,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,15
3,532693687204,532766368446,72681242,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,15
0,88532471267,88568954712,36483445,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,23
1,88764685739,88810138211,45452472,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,23
2,89013126543,89076523877,63397334,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,23
3,89281601218,89353938836,72337618,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,23
0,475664213018,475700696814,36483796,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,7
1,475896672735,475941694433,45021698,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,7
2,476157037920,476220422103,63384183,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,7
3,476426025436,476498556994,72531558,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,7
0,547228875649,547265359265,36483616,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,17
1,547460683761,547506243303,45559542,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,17
2,547709007963,547772508017,63500054,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,17
3,547977673347,548051158569,73485222,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,17
0,117521169036,117557652322,36483286,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,28
1,117756666207,117801254522,44588315,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,28
2,118000970227,118064328457,63358230,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,28
3,118270122700,118342564618,72441918,16384000,0,0x00008000,0x00008000,c,s,32768,1,c,y,32768,1,28
