Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,332736987760,332803384354,66396594,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,28
1,333000679457,333067310625,66631168,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,28
2,333280846931,333347761287,66914356,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,28
3,333553018045,333620282506,67264461,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,28
0,1316700980289,1316767375093,66394804,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,2
1,1316964671306,1317031301634,66630328,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,2
2,1317232841371,1317299782589,66941218,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,2
3,1317505012675,1317572241583,67228908,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,2
0,153417335462,153483742497,66407035,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,17
1,153680679564,153747291420,66611856,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,17
2,153960846528,154027754943,66908415,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,17
3,154233017992,154300246310,67228318,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,17
0,261984967416,262051359640,66392224,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,21
1,262248676545,262315307963,66631418,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,21
2,262516837769,262583750865,66913096,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,21
3,262789017644,262856254532,67236888,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,21
0,351961012101,352027407025,66394924,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,30
1,352224676725,352291286361,66609636,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,30
2,352492847010,352559764786,66917776,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,30
3,352765018955,352832256763,67237808,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,30
0,176969031131,177035424795,66393664,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,s,32768,1,20
