Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,299356891454,299423287868,66396414,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,23
1,299620680341,299689786526,69106185,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,23
2,299904849554,299974223136,69373582,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,23
3,300181024299,300251861197,70836898,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,23
0,139345076051,139411468365,66392314,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,15
1,139608674839,139677761042,69086203,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,15
2,139892855444,139962250417,69394973,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,15
3,140169027498,140239859175,70831677,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,15
0,1348776845259,1348843238113,66392854,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,4
1,1349040669120,1349109626400,68957280,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,4
2,1349324855745,1349394230547,69374802,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,4
3,1349601030640,1349671848136,70817496,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,4
0,133588957786,133655351740,66393954,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,14
1,133852686347,133921783801,69097454,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,14
2,134136857730,134206216901,69359171,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,14
3,134413021014,134483844860,70823846,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,14
0,1354828963060,1354895357744,66394684,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,x,32768,1,5
