Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1600282492750,1600348885114,66392364,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,10
1,1600544703510,1600651213042,106509532,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,10
2,1600852993093,1600978603884,125610791,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,10
3,1601185426579,1601330488963,145062384,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,10
0,1352460796440,1352527190003,66393563,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,5
1,1352724717170,1352831368526,106651356,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,5
2,1353045026264,1353174106992,129080728,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,5
3,1353381646118,1353530733865,149087747,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,5
0,317655832883,317722226907,66394024,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,26
1,317920697127,318027344353,106647226,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,26
2,318241060777,318370425053,129364276,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,26
3,318577896393,318724984520,147088127,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,26
0,168267650284,168334044668,66394384,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,19
1,168532707787,168639082996,106375209,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,19
2,168841035675,168970726093,129690418,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,19
3,169177747318,169322665568,144918250,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,19
0,324859806934,324926199118,66392184,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,27
1,325124682240,325231104383,106422143,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,27
2,325445036468,325574190393,129153925,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,27
3,325781846141,325924538039,142691898,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,27
0,161163435100,161229827314,66392214,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,18
1,161333827726,161440302384,106474658,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,18
2,161657106677,161786738459,129631782,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,18
3,161993935462,162135429819,141494357,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,18
0,1614381297873,1614447691227,66393354,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,11
1,1614644705322,1614751140537,106435215,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,11
2,1614953010107,1615082311577,129301470,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,11
3,1615289644433,1615464288003,174643570,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,11
0,1346413426323,1346479819067,66392744,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,4
1,1346676703919,1346783334843,106630924,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,4
2,1346985004894,1347114068799,129063905,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,4
3,1347321799055,1347468007184,146208129,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,4
0,310820600166,310886994420,66394254,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,25
1,311084693183,311191009056,106315873,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,25
2,311393021000,311522159824,129138824,16384000,16384000,0x00008000,0x00008000,c,x,32768,1,c,y,32768,1,25
