Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,5079489419933,5079499260036,9840103,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,5
1,5079696672391,5079706751928,10079537,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,5
2,5079920838289,5079930983633,10145344,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,5
3,5080137017889,5080147217148,10199259,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,5
0,5121997483760,5122014994149,17510389,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,21
1,5122212661520,5122230604663,17943143,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,21
2,5122444839768,5122462867600,18027832,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,21
3,5122669014617,5122687178632,18164015,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,21
0,5111197529569,5111220990093,23460524,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,17
1,5111416665874,5111440695205,24029331,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,17
2,5111656839452,5111680967312,24127860,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,17
3,5111885024861,5111909318419,24293558,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,17
0,5140569434617,5140583358718,13924101,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,28
1,5140780672113,5140794913006,14240893,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,28
2,5141008840181,5141023170333,14330152,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,28
3,5141229021771,5141243428541,14406770,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,28
0,5108529491106,5108534996696,5505590,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,16
1,5108732680828,5108738319551,5638723,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,16
2,5108940900143,5108946564879,5664736,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,16
3,5109153060491,5109158765571,5705080,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,16
0,5143333519367,5143348890353,15370986,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,29
1,5143544668664,5143560389595,15720931,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,29
2,5143772836652,5143788662043,15825391,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,29
3,5143993018282,5144008923351,15905069,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,29
0,5077041433357,5077045779691,4346334,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,4
1,5077244674664,5077249118158,4443494,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,4
2,5077464839033,5077469305259,4466226,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,4
3,5077673084250,5077677579989,4495739,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,4
0,5145965499237,5145990284123,24784886,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,30
1,5146188670146,5146214020498,25350352,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,30
2,5146416838123,5146442354963,25516840,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,30
3,5146649025333,5146674649423,25624090,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,30
0,5119345417413,5119365820781,20403368,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,20
1,5119564666870,5119585553887,20887017,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,20
2,5119800838627,5119821870859,21032232,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,20
3,5120029015256,5120050149148,21133892,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,20
0,5103221401296,5103239171912,17770616,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,14
1,5103436665685,5103454837300,18171615,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,14
2,5103656838584,5103675113960,18275376,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,14
3,5103881013443,5103899401660,18388217,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,14
0,5082109392563,5082131128075,21735512,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,6
1,5082328667973,5082350939438,22271465,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,6
2,5082564839580,5082587256720,22417140,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,6
3,5082793016259,5082815538309,22522050,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,6
0,5124813418090,5124814476206,1058116,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,22
1,5125012657758,5125013740346,1082588,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,22
2,5125228837708,5125229928247,1090539,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,22
3,5125437065493,5125438160893,1095400,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,22
0,5084837441422,5084838278296,836874,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,7
1,5085036664628,5085037519464,854836,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,7
2,5085236906236,5085237766372,860136,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,7
3,5085445012609,5085445877326,864717,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,7
0,5127421410743,5127432772219,11361476,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,23
1,5127628663142,5127640283573,11620431,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,23
2,5127852838070,5127864516707,11678637,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,23
3,5128069017801,5128080772495,11754694,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,23
0,5105889551370,5105902757770,13206400,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,15
1,5106100667664,5106114150122,13482458,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,15
2,5106328844483,5106342413689,13569206,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,15
3,5106549017112,5106562672307,13655195,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,15
0,5092677480807,5092687288097,9807290,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,10
1,5092884663428,5092894674519,10011091,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,10
2,5093096841388,5093106923646,10082258,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,10
3,5093313021039,5093323162702,10141663,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,10
0,5135341443021,5135369401844,27958823,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,26
1,5135564668825,5135593305686,28636861,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,26
2,5135808836222,5135837597475,28761253,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,26
3,5136045024841,5136073996856,28972015,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,26
0,5071605846758,5071624858618,19011860,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,2
1,5071820659982,5071840143419,19483437,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,2
2,5072052838821,5072072405696,19566875,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,2
3,5072277013410,5072296716358,19702948,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,2
0,5116605545652,5116626322148,20776496,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,19
1,5116824672617,5116845926241,21253624,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,19
2,5117060835734,5117082213760,21378026,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,19
3,5117289022304,5117310533883,21511579,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,s,32768,0,19
