Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,5106777344616,5106781414803,4070187,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,15
1,5106976682053,5106981346539,4664486,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,15
2,5107196841191,5107201723749,4882558,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,15
3,5107421022941,5107425950143,4927202,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,15
0,5075221263391,5075234417895,13154504,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,3
1,5075432666914,5075447754071,15087157,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,3
2,5075660846493,5075676711958,15865465,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,3
3,5075881026992,5075896993058,15966066,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,3
0,5128293439044,5128302891359,9452315,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,23
1,5128500667340,5128511540696,10873356,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,23
2,5128724845399,5128736288082,11442683,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,23
3,5128941014518,5128952503576,11489058,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,23
0,5125653389088,5125675616619,22227531,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,22
1,5125872691110,5125898207549,25516439,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,22
2,5126112842485,5126139267715,26425230,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,22
3,5126345036905,5126372025912,26989007,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,22
0,5072509646804,5072530319829,20673025,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,2
1,5072728663527,5072752364455,23700928,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,2
2,5072964847376,5072989440213,24592837,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,2
3,5073193066089,5073218111061,25044972,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,2
0,5104113447077,5104136125223,22678146,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,14
1,5104332672791,5104358782760,26109969,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,14
2,5104572850619,5104600060868,27210249,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,14
3,5104805026468,5104832625215,27598747,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,14
0,5146889305761,5146903566676,14260915,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,30
1,5147100675331,5147117040926,16365595,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,30
2,5147332857489,5147350114644,17257155,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,30
3,5147557039909,5147574338198,17298289,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,30
0,5120265320397,5120285608754,20288357,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,20
1,5120480665204,5120504021717,23356513,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,20
2,5120716838501,5120741374003,24535502,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,20
3,5120945015620,5120969600947,24585327,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,20
0,5109373228670,5109388073053,14844383,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,16
1,5109584674977,5109601745212,17070235,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,16
2,5109816852835,5109834096538,17243703,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,16
3,5110041030694,5110059091489,18060795,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,16
0,5144221371799,5144246161295,24789496,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,29
1,5144444677201,5144473157416,28480215,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,29
2,5144688847807,5144718555046,29707239,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,29
3,5144925017655,5144955079659,30062004,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,29
0,5090861321432,5090870277106,8955674,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,9
1,5091068668239,5091078974929,10306690,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,9
2,5091292849489,5091303604503,10755014,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,9
3,5091509018888,5091519901945,10883057,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,9
0,5112121399349,5112138775895,17376546,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,17
1,5112336674599,5112356654675,19980076,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,17
2,5112572849267,5112593548645,20699378,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,17
3,5112797026786,5112818100001,21073215,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,17
0,5088309441975,5088319748675,10306700,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,8
1,5088516661300,5088528500843,11839543,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,8
2,5088740887144,5088752837888,11950744,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,8
3,5088957025630,5088969537730,12512100,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,8
0,5141457297320,5141481176206,23878886,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,28
1,5141676661428,5141704191529,27530101,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,x,32768,0,28
