Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,5115697315335,5115725566987,28251652,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,19
1,5115848674358,5115882064084,33389726,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,19
2,5116096950825,5116140182985,43232160,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,19
3,5116345369076,5116391894085,46525009,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,19
0,5070733043750,5070752926697,19882947,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,2
1,5070884681312,5070907916483,23235171,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,2
2,5071120905554,5071151369938,30464384,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,2
3,5071357256580,5071389927374,32670794,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,2
0,5134468805439,5134486428870,17623431,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,26
1,5134620669013,5134641131988,20462975,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,26
2,5134840929941,5134867960082,27030141,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,26
3,5135085393067,5135114859981,29466914,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,26
0,5091736645442,5091760147290,23501848,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,10
1,5091956722691,5091983878104,27155413,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,10
2,5092184927233,5092220869974,35942741,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,10
3,5092425331483,5092464398677,39067194,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,10
0,5094460597561,5094486378347,25780786,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,11
1,5094612679137,5094642263203,29584066,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,11
2,5094844917801,5094884513158,39595357,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,11
3,5095089208260,5095131630909,42422649,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,11
0,5113048721985,5113062842735,14120750,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,18
1,5113200673257,5113217350203,16676946,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,18
2,5113416939776,5113438620722,21680946,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,18
3,5113645360859,5113668969888,23609029,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,18
0,5137196741987,5137199585331,2843344,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,27
1,5137348674288,5137352074598,3400310,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,27
2,5137552924946,5137557280421,4355475,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,27
3,5137761331729,5137766000746,4669017,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,27
0,5073442056187,5073444231255,2175068,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,3
1,5073640674343,5073643229288,2554945,16384000,0,0x00008000,0x00008000,c,m,32768,0,c,y,32768,0,3
