Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,675225043097,675254741824,29698727,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,2
1,675452662650,675482356757,29694107,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,2
2,675696837997,675726766168,29928171,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,2
3,675933009705,675963553017,30543312,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,2
0,427409030635,427438729552,29698917,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,26
1,427636667170,427666370747,29703577,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,26
2,427880842617,427910743624,29901007,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,26
3,428117014294,428147554176,30539882,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,26
0,355156921146,355186613623,29692477,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,19
1,355384662031,355414365499,29703468,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,19
2,355628837529,355658763139,29925610,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,19
3,355865017937,355895488632,30470695,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,19
0,864328988794,864358670250,29681456,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,10
1,864556668833,864586363700,29694867,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,10
2,864800836310,864830745608,29909298,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,10
3,865037015848,865067559650,30543802,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,10
0,881793018661,881822699997,29681336,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,11
1,882020672798,882050369085,29696287,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,11
2,882264839594,882294765514,29925920,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,11
3,882501010912,882531559354,30548442,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,11
0,682556947370,682586577481,29630111,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,3
1,682784670704,682814366471,29695767,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,3
2,683028837560,683058719996,29882436,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,3
3,683265009208,683295530688,30521480,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,3
0,433801013004,433830692489,29679485,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,s,32768,0,27
