Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,935648850425,935678480536,29630111,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,12
1,935876671629,935910001189,33329560,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,12
2,936124839605,936159168655,34329050,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,12
3,936377020812,936412653552,35632740,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,12
0,397456774069,397486472696,29698627,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,24
1,397684673360,397717950495,33277135,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,24
2,397932840946,397967570686,34729740,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,24
3,398173017254,398208584588,35567334,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,24
0,696388816062,696418446043,29629981,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,4
1,696616679829,696650030592,33350763,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,4
2,696864839455,696898939572,34100117,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,4
3,697105015263,697140654514,35639251,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,4
0,421596868530,421626498830,29630300,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,25
1,421824663400,421858061207,33397807,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,25
2,422072843998,422107866857,35022859,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,25
3,422313015945,422348581419,35565474,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,25
0,722032887796,722062579053,29691257,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,5
1,722260664915,722294042380,33377465,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,5
2,722508851753,722543472812,34621059,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,5
3,722749026280,722784664581,35638301,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,5
0,943340898363,943370528644,29630281,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,13
1,943568675832,943602039776,33363944,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,13
2,943816860760,943851495931,34635171,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,13
3,944057019466,944092633354,35613888,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,13
0,434740890664,434770521204,29630540,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,27
1,434968677123,435001963659,33286536,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,27
2,435216840239,435252053378,35213139,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,27
3,435457012197,435492570389,35558192,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,27
0,347464796140,347494494528,29698388,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,18
1,347692677750,347726070076,33392326,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,18
2,347940836695,347974954414,34117719,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,18
3,348181012943,348216617110,35604167,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,18
0,816904801702,816934493669,29691967,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,7
1,817132675911,817166053616,33377705,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,7
2,817380852208,817415180728,34328520,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,7
3,817621019515,817656612021,35592506,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,x,32768,0,7
