Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,372033906747,372063537218,29630471,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,21
1,372260668105,372295865051,35196946,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,21
2,372496928401,372541111626,44183225,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,21
3,372745313869,372792923046,47609177,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,21
0,720103268734,720132948809,29680075,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,5
1,720328667215,720363927208,35259993,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,5
2,720564907539,720609666412,44758873,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,5
3,720817192257,720865412705,48220448,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,5
0,438900353186,438930033141,29679955,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,28
1,439128669528,439165513480,36843952,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,28
2,439364929385,439409284367,44354982,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,28
3,439613285680,439660776465,47490785,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,28
0,338516617824,338546310020,29692196,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,17
1,338744672530,338780877628,36205098,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,17
2,338980941987,339025216131,44274144,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,17
3,339229265909,339276692638,47426729,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,17
0,445965086194,445994716234,29630040,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,29
1,446192663993,446227612635,34948642,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,29
2,446428888766,446473226046,44337280,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,29
3,446677421868,446724677500,47255632,16384000,0,0x00008000,0x00008000,c,s,32768,0,c,y,32768,0,29
