Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,1207560986536,1207612061889,51075353,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,25
1,1207808686585,1207860239066,51552481,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,25
2,1208060837819,1208112559067,51721248,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,25
3,1208317020136,1208368965097,51944961,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,25
0,872461066789,872512141972,51075183,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,13
1,872708662388,872760214919,51552531,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,13
2,872972839264,873024541030,51701766,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,13
3,873229011890,873280923907,51912017,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,13
0,696801024499,696852100002,51075503,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,6
1,697048672833,697100228505,51555672,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,6
2,697300843690,697352591580,51747890,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,6
3,697557016106,697608927583,51911477,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,6
0,859997034318,860048109591,51075273,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,12
1,860244664810,860296184648,51519838,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,12
2,860496853168,860548580297,51727129,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,12
3,860753016654,860804926020,51909366,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,12
0,712804975679,712856051002,51075323,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,7
1,713052676319,713104199947,51523628,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,7
2,713316844164,713368575362,51731198,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,7
3,713573015400,713624958770,51943370,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,7
0,1184140968783,1184192044046,51075263,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,24
1,1184388677623,1184440216513,51538890,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,24
2,1184652845718,1184704596719,51751001,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,24
3,1184909018264,1184960966535,51948271,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,24
0,682872989669,682924065092,51075423,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,5
1,683120672297,683172191944,51519647,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,5
2,683384840492,683436570660,51730168,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,5
3,683641012598,683692953467,51940869,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,s,32768,0,5
