Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,847453050578,847504125691,51075113,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,11
1,847700674530,847753321780,52647250,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,11
2,847968855806,848022130629,53274823,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,11
3,848229020241,848283217966,54197725,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,11
0,784405031326,784456106640,51075314,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,9
1,784652680491,784705391978,52711487,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,9
2,784920842175,784974127059,53284884,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,9
3,785181027092,785235210726,54183634,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,9
0,1223613037892,1223664113035,51075143,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,27
1,1223860678615,1223913389942,52711327,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,27
2,1224128839519,1224182120673,53281154,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,27
3,1224389025786,1224443234263,54208477,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,27
0,1073536961240,1073588036433,51075193,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,18
1,1073784663150,1073837383347,52720197,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,18
2,1074052841235,1074106150032,53308797,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,18
3,1074313017781,1074367196555,54178774,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,18
0,726572935925,726624011239,51075314,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,8
1,726820663627,726873331520,52667893,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,8
2,727088842703,727142115206,53272503,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,8
3,727349028180,727403201513,54173333,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,8
0,1216456904181,1216507979294,51075113,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,26
1,1216704666597,1216757230049,52563452,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,26
2,1216972844692,1217026115795,53271103,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,26
3,1217233021538,1217287203162,54181624,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,26
0,1083181022748,1083232097861,51075113,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,19
1,1083428663861,1083481369938,52706077,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,19
2,1083696841857,1083750105379,53263522,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,19
3,1083957018393,1084011195676,54177283,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,19
0,489764968026,489816043149,51075123,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,1
1,490012668425,490065315235,52646810,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,1
2,490280842450,490334126724,53284274,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,1
3,490541015726,490595212111,54196385,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,1
0,835556885447,835607960770,51075323,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,10
1,835804671305,835857358609,52687304,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,x,32768,0,10
