Active Cores,Start (ns),End (ns),Diff (ns),Bytes R,Bytes W,Buffer Size (Observed),Buffer Size (Interference),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,724418135394,724469210657,51075263,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,8
1,724664681108,724731767961,67086853,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,8
2,724944927749,725031955475,87027726,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,8
3,725237234476,725328570862,91336386,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,8
0,1116704014061,1116755092015,51077954,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,22
1,1116952669296,1117020157669,67488373,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,22
2,1117220928580,1117307870217,86941637,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,22
3,1117513238577,1117604643110,91404533,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,22
0,487618154022,487669229195,51075173,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,1
1,487864678404,487931792600,67114196,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,1
2,488132923766,488219874874,86951108,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,1
3,488425280948,488518976110,93695162,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,1
0,893572754560,893623829823,51075263,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,14
1,893820666121,893887772496,67106375,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,14
2,894100935334,894188038287,87102953,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,14
3,894393317438,894490278916,96961478,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,14
0,902064785450,902115860653,51075203,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,15
1,902312685779,902380098995,67413216,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,15
2,902580936962,902667985840,87048878,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,15
3,902873270271,902964309308,91039037,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,15
0,782246341216,782297416419,51075203,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,9
1,782492670289,782559751801,67081512,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,9
2,782772935732,782859943126,87007394,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,9
3,783065272401,783160466353,95193952,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,9
0,1172235548817,1172286623990,51075173,16384000,16384000,0x00008000,0x00008000,c,x,32768,0,c,y,32768,0,23
